user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
yel2****,4H8sF,이재명이 당장 구속 수사하라,True,1,2024-12-31T14:54:13+0900,847117502205919307,843,53,28
real****,12Ajo,이진숙 방통위원장 탄핵은 미동도 안한 민주당... 지금은 똥마려운 개 마냥 헌재재판관 임명을 강요하며 탄핵하나,True,1,2024-12-31T14:56:10+0900,847117628068593728,383,6,7
wjdd****,4ybaw,탄핵밖에 모른는 더불어강간당은 없어저야할. 나라에. 민패끼치말고. 더불어강간당은 당을 없애야한다,True,1,2024-12-31T14:55:24+0900,847117578357702811,373,19,11
ssou****,1SDLr,"중공 간첩이 활개를 치고 탄핵시위까지 다니는데 간첩법 강화는 무시하고, 국무위원 다 탄핵시키고, 예산 깎아 국가기능 마비시켜 중공의 속국이  되기를 원하는 건가? 중공의 속국이 되는 것은 매국 행위이다. 친중종북세력을 척결하고자 하는 대통령의 의지는 전 국민의 의지이다. 하루빨리 대한민국 정상화가 이뤄져야 한다.",True,1,2024-12-31T14:56:59+0900,847117680816161134,331,9,4
moss****,1OaKV,민주당 것 들이 모두 추천 한 것은 거부가 답이다.,True,1,2024-12-31T14:53:49+0900,847117476838768940,195,8,5
newb****,,,False,1,2024-12-31T15:07:53+0900,847118383529853223,0,0,1
1gjy****,9lREs,"대통령 권한 대행과, 국무 총리가 같은 겁니까!??? 예우나, 경호나, 신분이 다 다른데...! 그럼, 어느 국가에서, 대통령 권한 대행 체제일때는, 이 나라, 행정부 수반 (대행)을 입법부에서, 전임 직급이, 국무총리였으니까, 국회의원 과반수로, 막, 자꾸, 탄핵해도, 돼냐구요!???? 앞으로, 최 대행의 대행도, 전임이 장관이었으니까, 과반수로, 또, 입법부에서, 막 탄핵하고, 대행의 대행의 대행도, 전임 장관이었으니까!? 입법부 과반수 정당이, 행정부 수장을, 막 탄핵하고(!) 이게, 정의고, 나라 입니까!????!!",True,1,2024-12-31T15:04:53+0900,847118189702676797,53,1,0
mail****,,,False,1,2024-12-31T15:01:45+0900,847117987604332853,0,0,1
whgd****,2bPi8r,국회를 탄핵 고발합시다 지금 국회는 반국가적. 반헌법적 기관같네요 국회를 탄핵 합시다,True,1,2024-12-31T15:27:57+0900,847119675543257400,39,0,1
sami****,,,False,1,2024-12-31T15:31:54+0900,847119929818743094,0,0,1
sjw4****,1vsBB,"아무리 3명 충원이 시급해도,그동안 대통령 탄핵 전에는 고의적으로 민주당이 충원을 미루다가,민주당 자기들이 급하니 충원한다는데...아무리 급해도 서부법윈에서 법원장 정계선과 부장 마은혁이 뭐냐? 마은혁은 사노맹  활동한 대한민국과 정체성이 맞지 않는 사라이고,정계선은 사시 합격 기자회견  때, 이명박 대통령 끌어 내리는 것이 목표라 말하고...",True,1,2024-12-31T15:07:24+0900,847118351787360404,28,0,0
ugly****,1ckcE,대가릿수 믿고 국민을 가지고 놀고 대한민국 없애려는 민주당과 좌파들은 벌 받을거야!!!!,True,1,2024-12-31T14:57:39+0900,847117724269150448,27,1,0
jhch****,15mkW,찢짜이밍이 무슨 큰 인심이라도 쓰는 듯 한덕수 권한대행은 탄핵하지 않겠다 이랬던거 같은데 며칠 새 탄핵해버리고 무슨 조울증이라도 있는가. 범죄자의 심리는 참 알 수가 없어. 미국이 리퍼 드론 좀 날려줬으면 좋겠네.,True,1,2024-12-31T15:50:37+0900,847121136218013928,20,0,0
ljs5****,9JiTw,"판사가 진정 법과 양심에 따라 판결 하기를 희망 합니다
 한총리 탄핵 무효",True,1,2024-12-31T14:56:54+0900,847117674910581069,20,1,0
affo****,eOK1m,이죄명 먼저 구속이 답이다!!,True,1,2024-12-31T15:06:33+0900,847118296992972973,19,0,1
duds****,1qdxp,"헌재는 답이 항상 똑같네. ""검토하고 있다.""  분명하게 말해두지만 정치적 고려가 아닌 헌법정신에 투철하기를 국민의 한사람으로서 명령한다. 이재명 민주당의 눈치 보지마라. 국민이 눈 부릅뜨고 이재명 빵에 보낸다.",True,1,2024-12-31T15:27:03+0900,847119618316173329,18,0,0
tadd****,PTml,이죄명을 탄핵하라. 무안 공항건도 이죄명이 개시 했다,True,1,2024-12-31T15:16:44+0900,847118952713683180,17,0,1
k620****,8m6iZ,"헌재는 대통령, 대통령권한대행탄핵 모두 각하시켜라 위헌 불법 탄핵이다",True,1,2024-12-31T14:56:42+0900,847117662327669030,16,1,0
silg****,bZ5sd,나라가 재명이  때문에 풍지박산  나겠다,True,1,2024-12-31T16:03:11+0900,847121945349587035,14,2,0
yuli****,22nQ3,왜 대통령은 3분의2를 했냐? 그건 막중한 직무의 성격때문에 그랬는데 권한대행은 대통의 권한을 대신한다고 하면 당연히 200명이 되어야 하는게 맞다,True,1,2024-12-31T15:41:03+0900,847120519789543436,12,1,0
myti****,2hhAJ,헌제는 여론이 아니라 헌법에 충실해야 한다 그것이 헌제가 존재하는 이유다 재판관 성향에 따라 판결이 뒤집어지면 그건 헌법이 아니다 사적인법 존중의가치가 사라진 폐법이 된다,True,1,2024-12-31T16:13:44+0900,847122625716027639,8,0,1
smar****,,,False,1,2024-12-31T15:58:06+0900,847121618579750954,0,0,0
prop****,PevC,지연된 정의는 정의가 아니라면서...너네 기관에서 발행한 해설서에 나와 있는것도 재판을 하니...그냥 판결해라 대통령 유고시 과반정당이 국무의원 전원을 탄핵 할 수 있나...그러면 그게 나라냐...비겁한 이재명 졸개들,True,1,2024-12-31T15:45:20+0900,847120795573420161,8,0,0
sina****,3nnPx,좌파들은 헌법을 개판치고유린해도 비판기사하나 안나오더니 보수당만 헌법에도 없는내용까지 억지로 압박해서지키라네! 북조선일보 !!,True,1,2024-12-31T16:48:39+0900,847124875238703315,7,0,1
