user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
sung****,5rsIO,친중.친북.반국가세력 민주당이 문제다. 이재명은 안된다. 사법리스크 이전에 종북세력들 정권을 잡으면 절대 안된다.,True,1,2025-01-17T05:27:09+0900,848658082010497036,4237,131,37
f197****,,,False,1,2025-01-17T05:30:31+0900,848658298419806232,0,0,29
kkhh****,,,False,1,2025-01-17T05:48:09+0900,848659434807754761,0,0,13
siam****,2aoaZ,유엔미국 대북제재 위반하고 북한에 미화 8백만불이나 퍼준 이재명은 미국 입국 못하는겨 ??,True,1,2025-01-17T05:46:37+0900,848659335771848741,799,30,16
sams****,bKXuq,직설적 경고주네,True,1,2025-01-17T05:32:37+0900,848658433258291244,663,18,8
jang****,,,False,1,2025-01-17T07:29:06+0900,848665938143215637,0,0,1
team****,3bd0a,이렇게 백날 떠들어도 그저 좋~다고 민주당 지지하는  멍청한 개돼지들ㅉㅉ 중국 공산당 100주년 기념행사장에 더불어민주당 파란 깃발이 왜 거기있겠냐 ㅉㅉ,True,1,2025-01-17T06:29:48+0900,848662117987909700,164,6,5
bom7****,1AaBu,역사는 반복 된다! 우리 나라는 100년에 한번 씩 위기가 왔었다! 똥을 앞에 두고도 냄새까지 나는데도 먹어보기 전까지 청국장인지 똥인지 구별 못하는 멍청한 국민들이 있는 한 대한민국에 곧 재앙이 온다! 박근혜 선전선동에 문재인이 권력 줏어먹고 이나라를 어찌 만들었냐? 나라빚이 1000조다. 종북좌파 민주당에 의한 北에 유화·中엔 순응하면 그 결과는 지금껏 역사가 증명했 듯 그냥 다 끝장나는거야! 중국은 1000년간 우리에게 고통만 안겨주었지 단 한번도 도움을 준 적이 없었다! 아이들 역사책에 다 나와 있다! 이 멍청한 국민들아!,True,1,2025-01-17T07:38:14+0900,848666526352408632,150,5,3
para****,2BAHf,결코 이죄명 민주당의문제만이 아니다 그들뒤엔 중국이ㅜ있다 중국에서 수십년간 대문활짝 세금은 한국인이 혜택은 중국이니 누리고 있는시스템을 만들어놨다 그들이 한국와서 눈치안보고 떵떵거리며 사는 이유 우리나라를 지네속국으로 보기때문이다 정신차려야한더,True,1,2025-01-17T06:51:24+0900,848663508869447737,105,3,0
lily****,3gyPh,윤통 말이 다 거짓말이라고 하는 사람들 진짜 나중에 후회할거다,True,1,2025-01-17T07:11:36+0900,848664810865295438,106,9,0
yire****,3mFdc,대통령 한사람을 지키자는 것이 아니라 자유대한민국 체제를 지키자는 것 입니다! 이건 정말 경각심을 가져야 합니다!,True,1,2025-01-17T07:27:32+0900,848665837412810877,85,2,1
lkd4****,17XF6,다른나라에 사시는분도 이렇게 잘 아는데 우리나라 사람들은 왜 모를까,True,1,2025-01-17T07:20:08+0900,848665360973430806,82,5,3
krpc****,,,False,1,2025-01-17T07:12:50+0900,848664889802096776,0,0,4
etle****,1GVg4,친북 아닙니다. 종북입니다. 친중 아닙니다. 종중입니다. 그냥 좌파가 아닙니다. 공산당입니다. 찢죄명과 더불어범죄소굴당은.,True,1,2025-01-17T08:12:00+0900,848668701770121217,77,5,4
yskv****,875bJ,"영 김님, 정답입니다! 그리고 북중은 한미관계를 무너뜨리는 것에 끝나지 않고 아예 몰래 들어와있는만큼 속에서 발언권과 분야들을 독점한 다음 무력화시켜 정복해서 한국을 먹어 삼킬 것입니다. 홍콩과 마카우도 그랬듯이... 싱가포르와 일대일로도 벌써 풍전등화됬는데, 왜 우리나라 국민다수는 아직도 눈을 안 뜨는 것일까?! 우리편이 아직도 있을때 잘합시다!",True,1,2025-01-17T07:23:17+0900,848665563373764654,68,4,0
