user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hq08****,4Xg7J,"헌법수호자라고 하는 헌재재판관 이 정치판, 그것도 극좌 우리법연구회 동호회, 이재명 절친 문형배가 헌재재판관 소장대행, 민변 윤석열대통령 퇴진 특위 부위원장 이상희변호사 언니 이미선, 정계선의 남편 황필규가 통진당 해산 반대했던 김이수와 같은회사, 김이수는 국회소추단 변호사로 연결된 정계선, 군대 남성 동성성폭행 찬성, 에이즈간염자 전염 범죄도 옹호한 판결을 한 문형배, 이미선, 정계선 은 이미 결과를 정하고 재판하고있다, 정치판사는 사퇴가 답이다, 좌파 카르텔 수사해야 합니다.",True,1,2025-02-01T01:09:28+0900,850033050090733658,6615,144,56
texi****,ukrG,"어느 기관보다도 편파적이지 않고 공정성을 기해야 하는 헌재가 이렇게 편파적이고 자기들 입맛대로 한다면 누가 헌재를 믿겠나? 이는 국가를 큰 혼란속으로 몰아넣고 국법 질서를 무너뜨리는 것이다. 헌재는 정치적으로 공정성과 중립성을 생명으로 하는 헌법기관이다 , 특정정당의 비위맞추기 판결은 국민의 저항권으로 사라질것이다 , 한덕수총리의 심판이 먼저아닌가 ? 탄핵을 인용하기 위하여 사전정리추태를 즉시 멈춰라 !",True,1,2025-02-01T01:18:15+0900,850033615382249509,4458,60,20
kore****,3UYBz,절대 한덕수 총리 탄핵 먼저 판결 안할거다 ㅋㅋ 99프로 기각 확률이라 이게 기각되면 윤통도 탄핵 기각되어야한다로 이어지기 때문에 ㅋㅋㅋㅋ 무조건 윤통 먼저 할려고 하는거여 세뇌선동 엄청 시키면서,True,1,2025-02-01T01:10:00+0900,850033084651798535,3392,42,19
red6****,a9Ubn,현 대한민국 헌법 재판관 8 명 중 4명이 사상적으로 불순하고 좌편향 판결로 재판에 공정성을 담보하기에는 이들의 과거 행적이 도저히 납득하기 어렵다 문형배 마은혁 이미선 정계선 이들은 민변 우리 법연구회 소속이며 그들만에 카르텔을 형성하고 좌편향 판결로 국민들 지탄을 받아왔던 자들이다 그중 적색분자 우덜법연구회 초대 회장 문형배는 본인 스스로 내가 가장 왼쪽이다라고 호언 하던 자였다 과연 이들이 올바른 판단을 할 거라 생각하는 국민들이 있을까 싶다,True,1,2025-02-01T01:04:35+0900,850032735316607085,2924,33,17
texi****,ukrG,"대통령의 계엄 정당성은 다 나왔다. 중국의 조리돌림과 친중,주사파들의 놀음에 자유 민주주의 꽃이라는 선거가 매우 오염되었음을 보고 여러차례 바로잡기를 시도하였으나 헌재, 사법부, 언론까지 접수한 저들의 방해공작에 계엄이라는 특단의 조치를 하였는데 이걸 범죄니 뭐니 따질일이 아니다. 그걸 범죄로 본다면 모두 친중과 주사파 하수인임을 자처하는 것이다. 6개월간 구속하여 조사하겠다는건 파면을 전제로 헌재에 압력을 가하는거로 보인다. 대통령의 편은 거의없고 이제 주권자인 국민만 남았다. 계속 지지율이 오르는걸보면 불법탄핵은 기각이 맞다.",True,1,2025-02-01T01:10:12+0900,850033097184378925,2520,48,12
ljhc****,,,False,1,2025-02-01T06:06:40+0900,850052196870389804,0,0,7
5756****,vqRS,헌재 재판관뽑는게 더위중한가? 대행에대행이 정부를 끌고가는데 어찌 헌재까지 국민을속이는가? 이러니 공정성 논란을 의심받고 있는거다,True,1,2025-02-01T06:04:34+0900,850052061125935130,362,4,5
chlc****,3TDbg,"다시말해 헌법재판소는 법과 상식보다 이념과 집단이익에  찌든 뻘건  무리들의 집합소라고 볼때 신뢰할 수 없고,승복할 수 없다. 문형배 이미선 정정미 정계선이는 사퇴하는게 맞고 국민을 넘어설 수 없다.",True,1,2025-02-01T06:13:18+0900,850052624135749650,322,4,4
kigu****,iqV9,이진숙 탄핵심리 결과를 보고 깜짝 놀랐다. 탄핵거리도 되지 않은데도 4명이나 탄핵에 찬성했다는데 대해 너무나 놀랐다,True,1,2025-02-01T06:54:56+0900,850055306611261507,308,2,5
char****,aekmn,"판사들이 권위를 잃으면 시정잡배보다 못 하다. 판사가 입장할때 일어서는 이유는 그들이 공정하고 법과 양심에 따른 판결을 하리라 믿기 때문이다. 그럿데, 이번 사태로 이런 믿음이 헛된 것임을. 깨달았다. 정치인들과 똑 같은 아무 짝에도 쓸모없는 인간들이라는 것을 알게 되었다. 알고보니 아무것도 아닌것들이 대단한 척,  지고지순한 척 하고 있었다.",True,1,2025-02-01T07:11:05+0900,850056347251638282,260,1,5
kkhh****,,,False,1,2025-02-01T01:43:58+0900,850035272652423314,0,0,1
lkr9****,1zRcJ,가장 위중한 것이 한덕수 총리 탄핵건이다. 그리고 단순하다. 2월 3일 한덕수 건 먼저 처리 해라.  헌재도 이재명이로구나. 신뢰가 안간다. 입법독재ㆍ탄핵국회ㆍ방탄국회 ㆍ불법체포구속에 동참하는것이냐? 윤대통령돌아 올것이다 . 돌아와서 개헌 해야 한다. 헌재는 정신차려라.,True,1,2025-02-01T06:03:57+0900,850052021380710478,243,3,1
abck****,504RI,"위중한 것이 먼저라고? 이진숙방통위장은 계엄보다 한참 이전에 탄핵소추됐는데. 뭐한다고 172일만에 선고했니? 문형배는 업무시간에 독후감이나 쓰는 주제에 시간이 없었니! 게다가 1일출근하고 탄핵소추된 방통위장에 대해서는 탄핵인용을 해? 너같은 인간이 헌재를 단체로 욕먹이는 거고, 너같은 재판관들 때문에 국민이 저항권을 발동하게 되는거다!",True,1,2025-02-01T07:02:47+0900,850055812595318858,193,1,1
good****,,,False,1,2025-02-01T01:18:45+0900,850033647896494181,0,0,2
mini****,,,False,1,2025-02-01T03:16:12+0900,850041214857117712,0,0,1
bonn****,5bwke,원래 죄파들은 매우 조직적이며 top-down 방식으로 의사결정이 이루어지기에 바로 실천적 행동으로 옮기는 기민함을 보인다. 그들은 어디가 권력의 핵심인지 잘 파악해서 움직인다. 이는 탄핵 절차에도 해당된다. 그들은 자신들의 오류 모두를 대통령 탄핵으로 덮을 수 있다고 생각한다. 이런 식으로  비판과 비난을 무력화시키는 것이다. 우파들도 잘 배워서 치열하게 대응해야한다!,True,1,2025-02-01T06:27:39+0900,850053549013336104,127,1,0
nang****,4r3zM,"헌재는 대답하라
투표자수와 선거명부가 다른걸 검증하기하기 위해
윤측이  투표자수검증 신청했는데 왜  기각했나",True,1,2025-02-01T06:23:46+0900,850053298730827841,126,1,2
kdj1****,5PjLg,헌재가 왜 이지경이냐! 선관위.헌재.공수처. 3대 썩은 집단!,True,1,2025-02-01T06:12:20+0900,850052562378817555,116,3,2
sk08****,Y8oZ,다른 거는 잘 모르겠다. 방송통신위원장으로 이틀 일한 사람을 민주당이 탄핵을 했는데 약 6개월 만에 헌재에서 판단을 했는데 이틀 일한 사람 탄핵에 대해 4명씩이나 탄핵해야 된다고 하니 이게 얼마나 웃기는 일인가??  정말 상식을 벗어나도 너무도 벗어났다고 생각한다. 법이라는 것이 일반 국민들의 상식  선에서 존재하는 거 맞지? 특히 이런 판은 더 더욱. 그런데도 헌재 8명 중에 4명에 탄핵을 인용된다고 하니 진짜 어이가 없더라. 정치적으로 판단했다고 생각한다. 탄핵과 관련해서 본인들의 정치적 판단으로 해서야 되겠는가?,True,1,2025-02-01T09:37:23+0900,850065771835949140,104,0,6
