user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
chai****,4NjBN,이참에 발톱을 들어낸 종북좌파 뻘갱이 간첩들 몽땅 색출해서 척결해야 할것이다!!!!!,True,1,2025-03-08T15:37:04+0900,853335940154785819,772,74,13
6330****,pQe5,내란죄 빠진 사기탄핵은 기각도 인용도 아닌 각하가 맞다. 걍 애초에 재판자체가 성립이 안되는거임,True,1,2025-03-08T15:07:42+0900,853334048322355434,396,49,6
cgle****,dFaPn,예상되는 혼란마져도 이재명 구속으로 깨끗이 종료될 겁니다.,True,1,2025-03-08T16:53:56+0900,853340891396440326,202,15,4
jang****,,,False,1,2025-03-08T16:02:14+0900,853337560716410950,0,0,6
tkad****,,,False,1,2025-03-08T16:58:30+0900,853341186188902544,0,0,2
fhf1****,,,False,1,2025-03-08T17:09:15+0900,853341878198730818,0,0,0
pyg6****,bYfwS,"찢보당아!내란죄가 빠진 것을 가지고 권력잡을 욕망으로 사기탄핵을 하다니~~헌법상 외환,내란외에는 민.형사상소추되지 않는다는 헌법도 개무시,국민도 개무시,니들은 꼭,꼭 천벌과 국민의 응징을 받을것이다~~^^^^^",True,1,2025-03-08T16:52:55+0900,853340826015629573,18,4,0
bdj9****,aoYll,헌재는 즉각 탄핵을 기각 하라.  내란은 국가 기능을 전면 마비 시키고 정권 찬탈에만 혈안하는 죄명이 일당 이라는 것을 하늘이 다안다. 죄명이를 빨리 감옥에 쳐넣는 것이 내란 종식이다. 국민들도 이제는 정신 똑바로 차리고 누가 나라를 망치는지 똑바로 좀 봅시다.,True,1,2025-03-08T16:54:30+0900,853340928390201475,13,4,0
atom****,1Fs7K,"지금은 범죄와의 전쟁. 내란수괴 전과5범 찢죄명과 그 졸개들,  그리고 부정선거 세력과의 전쟁이다~!!",True,1,2025-03-08T17:06:58+0900,853341731716858132,12,3,0
aowl****,dJIHO,"이번 기회에 전과4범 잡범 좌파의 수괴 이죄명을 따르는 검찰, 고위공직자범죄수사처, 헌법재판소, 중앙선거관리위원회가 정상적으로 돌아오도록 개혁을 합시다.",True,1,2025-03-08T17:03:29+0900,853341507036381332,11,2,0
rmad****,1KOC2,"이번기회에~ 더불어미친당 양아치들과 짬짬이 패거리들~ 일거에 소탕해버리고~ 굳건한 
 자유민주주의 기틀을 마련해야 한다",True,1,2025-03-08T17:10:43+0900,853341973677867215,9,3,0
yubi****,2bALDD,"누가 반국가 세력인지는 이번 계몽을 통해 확실하게 다 밝혀졌다.
반드시 척결 되야할 대상 최 우선순위는 종 북중 좌파들이다.
이자들이야 말로 국민의 혈세를 대한민국에
빨대를 꽂아 빨아 먹으면서, 대한민국을 망하게 만들어 놓은 간첩들이고 여적죄인 들이다. 겉으로는 대통령, 국회의원등 뱃지를 달았지만, 더이상 용납해서는 안된다",True,1,2025-03-08T17:22:50+0900,853342753449312531,8,3,1
heos****,4Rvmr,기각되고 재명이 곧 정리되는데 안정이지,True,1,2025-03-08T16:54:02+0900,853340898358984716,8,3,0
lyij****,,,False,1,2025-03-08T16:53:19+0900,853340852674625610,0,0,0
bjgk****,2YJJB,협박을 하는구나.,True,1,2025-03-08T15:35:31+0900,853335839776702614,10,6,0
