user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
kkht****,1oqAs,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 이게 내란이다,True,1,2025-03-21T11:28:18+0900,854525939931938974,5878,62,46
jaey****,5STNJ,대대대행이라는 듣도 보도 못한 체재를 만들어서 행정부 마비 시키려는 민주당이야말로 내란세력이다.. 지금 엄중한 시기에 저런 짓해가며 자당 대표 방탄에만 올인하는 것들.. 국가와 국민은 생각도 하지 않냐?,True,1,2025-03-21T11:28:07+0900,854525928422768690,4020,31,27
ktsh****,HqAS,"또 탄핵해바라! 똥줄타는 이재명 범죄를 방탄하고 대통령 하려고 마지막 발악을 하는것이다.이재명을 진작 집어 처 넣었으면 이런 더러운 보지 않았다.범죄자에 불과한 이재명 한 놈 살리자고 나라가 온통 광기에 미친듯하며 개판 되었다.더불이 공산당의 의회 독재에 의해 29번 융단탄핵과 26번째 줄특검이 부른 참사로 국정마비는 물론 무정부 상태가 되었다.여기에다 더불어 공산당 홍위병을 자처하는 헌재는 물론 좌편향된 판사들에 이어 검찰,경찰,공수처 완장차고 법치를 파괴하며 미친듯 날뛰고 있다. 윤통기각,찢죄명구속 이것이 민심이고 국민들 뜻이다",True,1,2025-03-21T11:28:06+0900,854525927466467383,2384,18,10
now1****,2jnrC,이러니 계엄하지 쯧쯧,True,1,2025-03-21T11:28:46+0900,854525970516803893,1928,29,14
gkfn****,3DPxj,탄핵을 하면 할수록 민심은 멀어진다는 걸 민주당은 알까???하긴 무식한 좌파들이 뭘 알겠어??,True,1,2025-03-21T11:28:18+0900,854525939697057908,1507,22,18
idne****,5ouE,차라리 잘됐다 월욜 한총리 기각으로 돌아오니 어차피 최상목도 이참에 잠깐 쉬면 되는거고 민주당은 탄핵남발당으로 윤통선고에 유리함 국정마비시키는데 계엄안하면 오히려 대통령이 직무유기한거잖어~,True,1,2025-03-21T11:35:09+0900,854526381575372870,305,2,4
spzk****,,,False,1,2025-03-21T11:31:16+0900,854526131443859573,0,0,4
shan****,MFLJ,이제 권한 대행의 대행의 대행이 오는거냐. 국가 운영을 이따위로 하는게 국헌문란이고 내란행위다.,True,1,2025-03-21T11:32:06+0900,854526184258535475,229,2,5
hidd****,2RHP2,누가 봐도 잘못된 이런 줄 탄핵은 이재명의 지지가 탄탄하기 때문이다. 전라도 정신 차려라. 콘크리트 지지 35%는 전라도다. '민주화의 성지' 어쩌고 한 것까진 좋은데 정말 너희들이 나라를 망치고 있다.,True,1,2025-03-21T11:39:19+0900,854526649255854210,215,2,3
ahnj****,7MsYX,한덕수에 이어 이제는 최상목까지! 그리고 다음은 이주호 그다음은 과기부장관 그리고 김문수까지 가겠지. 진정 종국엔 행정부를 붕괴시켜서 리재명 괴뢰정부를 만들겠다는 심산인겐가!,True,1,2025-03-21T11:31:19+0900,854526134799302792,176,3,1
rhat****,GnHO,진짜 내란당이 공산당 야 5당 모두 위헌정당으로 해산가야 된다,True,1,2025-03-21T11:31:23+0900,854526138993606846,159,2,1
