user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
red6****,a9Ubn,9전9패 민주당 해체   사필귀정 정의는 살아있다 말도안되는 줄탄핵으로 인해 국정 마비시킨 민주당이 내란이다 내란 우두머리 이재명 당장 긴급체포해 구속시켜라,True,1,2025-03-24T10:03:52+0900,854798813817209210,5937,189,47
hq08****,4Xg7J,"한덕수 국무총리 탄핵 기각이 마땅하다, 한덕수 국무총리에 대한 탄핵심판은 대한민국의 법치주의와 헌정 질서를 유지하는 데 있어 매우 중요한 의미를 가진다, 우선, 국무총리 탄핵소추 의결 과정에서 가결 정족수가 논란이 되는 것은, 애초에 절차적 정당성이 결여된 상태에서 탄핵이 강행되었기 때문이다, 헌법과 법률에 따라 탄핵이 진행되어야 하지만, 이번 사안은 오직 정치적 목적에 의해 추진된 것으로 보인다, 만약 국무총리 탄핵소추에 대통령과 동일한 가결 정족수가 필요하다면, 이는 명백한 절차적 하자를 가진 것이므로 각하되어야 마땅합니다.",True,1,2025-03-24T10:04:23+0900,854798848009175226,2348,69,20
red6****,a9Ubn,한덕수 기각을 내린 법원 판단은  이나라가 민주주의의가  죽지 않고 살아. 있음을 보여준 판결이다 대한민국 헌법을 개무시로 일관하는  내란수괴 이죄명 당장 구속시켜라,True,1,2025-03-24T10:04:54+0900,854798880624083376,1858,59,14
mge0****,4mqGd,대한민국 만세~~~ 윤석열 대통령 각하까지 빠르게~~~,True,1,2025-03-24T10:03:53+0900,854798815109054910,1221,139,15
thin****,1WGXz,당연한 결과다~ 이재명 아웃,True,1,2025-03-24T10:04:35+0900,854798860424315160,1009,43,12
yunu****,,,False,1,2025-03-24T10:08:59+0900,854799143808270865,0,0,4
hone****,18NEu,내란 없는 총리 탄핵!! 내란 없는 대통령 탄핵!! 탄핵 사유가 북중러를 멀리했다더니 슬그머니 빼버리고 내란 항목도 슬그머니 빼버린 민주 깡패 두목 찢죄명 부터 깜빵으로~~~!!!!,True,1,2025-03-24T10:04:42+0900,854798868410270025,290,3,3
nksg****,cFCx8,"정계선이 인용 의견냈다네요.
 골수 좌파임을 입증했네요.
 상식이하의 무조건 이념과 진영논리로 판결하는 판사 맞네요.",True,1,2025-03-24T10:10:23+0900,854799233851588789,276,3,0
step****,ICx8,이재명 사형 동의하시면 개추,True,1,2025-03-24T10:05:41+0900,854798930821513529,181,9,0
wyo9****,1SPVk,인용  정계선은 지 남편이  탄핵 찬성집회  선동  우두머리라  하더만   본핵을  여지없이  드러냈네~~저렇게  편향된 인간을 헌재에 둘 수 있냐??,True,1,2025-03-24T10:26:29+0900,854800271421735156,162,3,0
