user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
fear****,3O0zh,각하로 대통령이 복귀 해야 저 붉은 집단 때려잡을 수 있고 온갖 거짓 선동. 조작 으로 내란 선동 하는 반국가세력 들도 때려 잡을 수 있다. 헌재는 나라의 미래를 위해서는 반드시 각하 해서 혼란을 매듭 지어야 한다.,True,1,2025-04-03T17:42:20+0900,855756063528452202,2761,42,24
chop****,3FM9q,그래  총파업해라!  대기업은  직장폐쇄하고  다  외국으로 옮기는가  아님 그냥  다 매각하세요!  이것들  다  실업자 만들고 죽게 합시다.,True,1,2025-04-03T17:46:02+0900,855756302184349711,1507,8,16
ktsh****,HqAS,"더불어 공산당과 협업을 하는 민노총과 전교조! 대놓고 헌재를 협박하고있다.민노총과 전교조는 북한 지령을 받고 더불어 공산당과 협업을 하며 법위에 군림하는 종북 주사파 간첩,붉은 무리들이 장악한 이적 단체다.우리는 지금 자유 대한민국을 사수하느냐 마느냐 절체절명 위기에 놓였다.깨어 있는 국민들이 들고 일어나 착차 공산화가 되어가는 자유 대한민국을 지키고 후세대 들에게 물려주어야 한다.또한 이재명을 법정구속 시켜라. 헌재는 자유 대한민국을 지킬 의지가 있다면 조작된 사기 탄핵 기각 시켜라!",True,1,2025-04-03T17:47:01+0900,855756364964691989,1225,7,4
khg_****,sxzl,내란선동이네...,True,1,2025-04-03T17:46:37+0900,855756339614318833,1045,2,4
rkdw****,3klPe,니들이 뭔데 공장을 멈춰라마냐하냐 ㅋㅋㅋㅋㅋ 손실보는건 니가 책임 질거냐?,True,1,2025-04-03T17:45:27+0900,855756264553054399,655,4,10
chch****,57Tbs,정치파업 하겠다는 거네..민노총이 사라져야 우리나라가 산다..악마다.악마,True,1,2025-04-03T17:48:21+0900,855756451803562111,242,0,0
park****,1oJiw,"노동이랑 탄핵이랑 무슨관계가있어 파업?
싹다해고하고 일자리구하는.청년에게제발 일자리.만들어주길",True,1,2025-04-03T17:51:11+0900,855756633735692355,151,0,0
syle****,vsJm,"악의 축!!!  필요 악!!!!  귀족 노조!!!  정치노조!!!, 간첩이 우글대는 집단!!!  ~ 합리적이고 민주적인 노동자의 권익을 대벽하지 못하는 사라져야할 집단!!!",True,1,2025-04-03T17:50:47+0900,855756608301433132,128,0,0
bbig****,2ZuEh,북한의 지령대로 움직이는 간첩단이 소속되었던 국가전복세력이자 이적단쳬 민노총.간부들은 강제로라도 북으로 돌려보내라.가는즉시 숙청당하게.,True,1,2025-04-03T17:50:07+0900,855756565653749806,105,0,0
fait****,2IBYn,민노총은 북한으로 가라. 그게 답이다,True,1,2025-04-03T17:49:05+0900,855756498259673113,81,0,0
brai****,1yUgJ,"전부 짤라라 청년들 일자리 없어 아우성이다 그리고 불법 폭력 시위는 현장 사살을 원칙으로 하라 내일 대석열 복귀후 부정 선거 사범, 내란 사범 모두 엄벌할거니",True,1,2025-04-03T17:49:23+0900,855756517419253913,65,1,0
eggi****,kgGT,"역시나 민노총은 정치집단임을 스스로 자인하는군.
그것도 민주당을 꼭두각시로 가지고 노는 상왕이로구나~",True,1,2025-04-03T17:49:24+0900,855756518996312212,54,1,0
qpdd****,3ukln,"뒷배엔 종북주사파 공산당도 있다.
승복을 안한다고 했으니. 이게바로 내란인거다.
싹 형행범으로 다스려야한다",True,1,2025-04-03T17:55:30+0900,855756911448948934,51,0,0
ljk6****,3imyW,파업 하면 싹다 잡아 가두고 민노총 해산시켜라. 북한이 지시했냐? 이것도 수사해라. 간첩은 사형이지.,True,1,2025-04-03T17:54:33+0900,855756851235520727,43,0,0
juyu****,1LTpI,"민노총의 핵심인간들은 모두 고정간첩과 다름없이, 오직 대한민국을 파괴하는 목적만 가지고 온갖 퍄악질을 부리고 있기 때문에 반드시 박멸시켜야만 자유민주, 선진대국이 될 수 있다.",True,1,2025-04-03T17:52:40+0900,855756729432932651,41,1,0
basj****,3J0bd,간첩들이  활동하는  민노총을  해산시키는  법을  만들어  민노총 활동이  더  이상  남한에서  일어나지  않아야  한다.,True,1,2025-04-03T17:55:39+0900,855756922136035592,31,0,0
okki****,2dtxU,진짜 계엄 해야 함~~,True,1,2025-04-03T17:49:02+0900,855756495675981837,31,0,0
ahi7****,1JgRW,노조가 대통령 탄핵기각하고 뭔 상관인데 파업운운하니??!?,True,1,2025-04-03T18:00:23+0900,855757226944495767,23,0,2
khg1****,1LBmg,맨날 파업하면서 무슨 특별한듯이 말하내 ㅋㅋㅋ,True,1,2025-04-03T17:53:26+0900,855756779093491897,23,0,0
sjk7****,,,False,1,2025-04-03T17:50:29+0900,855756589192184019,0,0,0
tjda****,4qS7p,지령 받은게 뻔하지,True,1,2025-04-03T17:54:06+0900,855756821623734324,18,0,0
daup****,1qyaT,이래서 삼청교육대가 필요한 거다.,True,1,2025-04-03T17:54:55+0900,855756873884762465,14,0,0
ggat****,3GfyT,"난 지금 중년이다. 청년 때 민노총, 민주당은 서민편에 선 자라고 생각했었는데 지금 돌아보니 그게 아니다. 종북, 종중 세력이 나라를 먹어가는 방법 중 하나였다. 나처럼 지금도 속고 있는 사람들이 있으면 정말 깨닫기를 바란다!",True,1,2025-04-03T18:38:44+0900,855759696735240465,13,0,0
soga****,1eEEW,"그래서 민노총에 간첩이  있다고 의심들 하는거지~ 나라를 전복하기위해 모인집단, 회사는 망하거나 말거나 자기들 사리사욕만 채우는~",True,1,2025-04-03T17:51:21+0900,855756644875763853,13,1,0
j_ep****,5aqv3,"응. 그러니까 니들은 순수한 의미의 노조가 아닌거야. 니들은 반국가 내란 세력, 종북주사파 이적 단체 맞음. 윤 대통령 복귀 후, 니들은 이적 행위 가담자로 전원 국보법에 의해 체포 후 사형으로 죽버여려야 함.",True,1,2025-04-03T18:33:39+0900,855759369764077808,12,0,0
9266****,7py7W,그래라 거리로 나와서 다 굶어죽어라ᆢ 배때기에 기름지니 개소리를 하네~~,True,1,2025-04-03T18:10:28+0900,855757876390527144,12,0,0
lim1****,7lD2i,"으이구!!!이것들은 대놓고 나 간첩이오!!!하고
티를 낸다!!!!내일 대통령 복귀로
대한민국 간첩과의 전쟁 갑시다!!!!
대한민국은 우리 국민의것!!!
간첩들 설치는꼴 더는 못보겠다!!!멸공",True,1,2025-04-03T17:48:45+0900,855756476566733053,11,0,0
junk****,,,False,1,2025-04-03T19:04:24+0900,855761350431867026,0,0,0
uoyu****,5RCwH,그냥 군대 풀어서 개머리판으로 대가리 먼저 쪼개고 끌고가서 전부 재판없이 사형 시켜버려야 댐니다,True,1,2025-04-03T18:56:51+0900,855760864077152531,9,0,0
kkim****,2DejV,"민노총이 우리나라 주권자를 대표하는 단체인가요
가면 갈수록 국민의 대표라고 지껄이면서 법률위에서 행동하는 사람들이 많아지네요
이제 기가차서 할말도 없네 만드네요
진짜 어려운 노동자들 목소리에 귀 기울이고 그들의 권익 향상을 위해 힘써주세요",True,1,2025-04-03T18:05:34+0900,855757560626544805,9,0,0
holy****,1yN2m,도대체 노동자와 탄핵이 무슨 상관이냐? 정치인이냐?,True,1,2025-04-03T18:13:35+0900,855758077213802735,8,0,0
knil****,,,False,1,2025-04-03T20:08:33+0900,855765483431919827,0,0,0
dndu****,4pkGs,어차피 이렇게 된거 대통령님 복귀해서 진짜로 저런 집단들 싹다 쓸어 버리시죠?,True,1,2025-04-03T18:37:38+0900,855759626522591475,7,0,0
ljh8****,dm0sv,대통령기각이라고 너네가 총파업은 왜하는데 이유가 뭐지,True,1,2025-04-03T18:17:45+0900,855758345397600527,7,0,0
a730****,XIKk,노동자를 사칭 회사를 말아드시더니 이제 나라까지 말아먹으려고하네...,True,1,2025-04-04T06:58:38+0900,855807365268635724,6,0,0
schc****,488i7,헌재가 기각하면 계엄의 이유의 정당성을 인정하고 반성해야지 총파업? 이것들이 법을 우습게 아네. 이런 폭도들과 반국가 세력을 윤대통령은 반드시 척결해야 할 역사적 사명을 받아 복귀하시라.,True,1,2025-04-03T19:37:44+0900,855763498267836637,6,0,0
1209****,2UR09,너희들이 뭔데 대통령 탄핵 기각에 공장을 멈추고 싸우는 거냐? 싸움하기전에 기업을 먼저 생각하고 다음은 기업에 소속된 직원의 복리를 생각해라. 그게 너희들이 할 임무다.,True,1,2025-04-03T19:34:39+0900,855763299692708070,6,0,0
sam1****,6G3te,민노총에서 북한공산간첩에게 직접 지시를받고  시위를주도하고 여론을 선동하는 간첩들이 나온 이유가 있었네~,True,1,2025-04-03T17:49:59+0900,855756556610830733,6,0,0
l002****,53c8H,북한지령대로 잘움직이네,True,1,2025-04-03T17:47:16+0900,855756381842571373,6,0,0
lss3****,2n3kw,"만약 총파업사태가 발생한다면 정부에서도 대책을 마련해서 대응해야 합니다 저인간들은 공산괴뢰군 들로 간주해서 공권력 투입,군인들 투입하고 무력으로 강제 진압해야 한다 심할경우 사살명령도 내려야 한다 저인간 들은 대한민국 국민이 아니다 전부 사살해야 한다! 진짜 계엄령선포 해서 진압해야 한다 계엄령은 이럴때 하는거다!",True,1,2025-04-03T18:21:14+0900,855758569289547860,6,1,0
miso****,9IEkF,간첩=민노총=민주당,True,1,2025-04-03T19:52:55+0900,855764476295643446,5,0,0
josh****,,,False,1,2025-04-03T19:12:09+0900,855761849805701183,0,0,0
unis****,5zk3W,좌파 언론에 의한 국민 세뇌로 투표장에서 야당에 투표하는 좀비 국민이 60%다 좌파 언론 개혁이 시급하다,True,1,2025-04-03T18:23:44+0900,855758731021910269,5,0,0
gold****,3Tvz6,이게 내란이지,True,1,2025-04-03T18:05:35+0900,855757561196970181,5,0,0
rhat****,GnHO,다짜르고 신규로 다구하자 그게 낫다 북한과 내통하는 민노총 자체가 간첩이다 다 실직되어야 정의 공정이다,True,1,2025-04-03T17:47:50+0900,855756417628373291,5,0,0
ahnj****,as92s,현대제철처럼 전부 직장폐쇄 하고 외국으로 가라 아님 전원 해고를 하든지 사측은 강경하게 좀 하라고,True,1,2025-04-03T18:56:48+0900,855760861191471368,5,1,1
etle****,1GVg4,집회에 모이기만 하면 술처먹고 깽판 부리는 늙다리 늬들 함 나와 봐라. 박살을 내 줄테니까. 지금은 늬들의 시대는 이미 갔고 늬들보다 훨씬 똑똑한 2030의 시대가 되었다는 걸 똑똑히 깨닫게 해줄톄다.,True,1,2025-04-03T17:56:10+0900,855756954549616705,5,1,0
skin****,4UeNB,탄핵아랑 너네가 뭔상관인데??? 간첩맞네. 저것들 어떻게쫌안되나 정말너무싫다!,True,1,2025-04-04T07:03:33+0900,855807681586266207,4,0,0
show****,1z1nP,민주노총이 언제부턴가 정치적인 개입을하고 정치판에 들어와있냐 노동자를 생각한다고 어쩌구저쩌구 개소리고 민주노총 간부들 지들 밥그릇이지 동부연합 빨간색 리석기 똘마이들 양경수 민주노총 조합비로 법카5천만원 월급3천만원이상 이라면서 양경수가 맨날 선동선전 대모나 하고 노동자 권익보호는 옛날말이고 지금은 변질되서 간부 밥그릇에 이익을 위해서 싸우고 노조원들만 자신은 이익으로 인해서지 민노총 해산해라,True,1,2025-04-04T06:46:50+0900,855806604958761058,4,0,1
haha****,23wOx,헐.. 역시 동남아에서 북한공작원 접선해서 한국 정보 다 넘긴 간첩 혐의로 리더가 구속된 집단 맞구나_,True,1,2025-04-04T03:55:56+0900,855795594860429374,4,0,0
ckg1****,,,False,1,2025-04-03T19:57:57+0900,855764801253540181,0,0,1
moon****,47Scp,이건 내란선동죄 아냐??,True,1,2025-04-03T19:49:37+0900,855764263342440662,4,0,0
klim****,2VF81,먹고 살만하니 엉뚱한 짓거리를 한다. 민주노총이 누구를 위한 투쟁이냐? 사업장의 노동자를 위한 투쟁이냐 그냥 보수정부는 무조건 반대하는 정치 투쟁이냐.,True,1,2025-04-03T19:44:51+0900,855763956973699373,4,0,0
zoro****,bbbcb,"민주당의 실세
  민노총
이죄명이는 파업 폭력 선동질하고
박자가 맞아들어가네
이죄명이를 내란 선동주범으로
잡아들여야한다",True,1,2025-04-03T19:26:27+0900,855762771092963497,4,0,0
http****,2Tm5O,"민노총 너희 집단은 대한민국을 위해서 무엇을 했나. 파업이나하고 간첩질이나하고 선전선동이나하고, 너희 자식들이 살아가야 할 대한민국이다. 정신 좀 똑바로 차려서 살아가거라. 거지 같은 행동하지 말고",True,1,2025-04-03T19:20:10+0900,855762366996938810,4,0,0
prk1****,,,False,1,2025-04-03T19:18:47+0900,855762277154947346,0,0,0
phyj****,49h69,나라는 관세때문에  힘들어지는데~니들 윤통복귀하면 다 짤린다!!!!!,True,1,2025-04-03T19:18:44+0900,855762274671919390,4,0,0
ssmo****,3c7tI,민노가 왜 탄핵과 무슨 상관? 지령이 떨어 졌나 총 파업 하라고? 민노도 이젠 정치화로 선언 하는구나 민노 해체만이 대한민국이 살 길이다.,True,1,2025-04-03T19:13:14+0900,855761919884132439,4,0,0
newl****,,,False,1,2025-04-03T19:11:17+0900,855761794256339038,0,0,0
theb****,,,False,1,2025-04-03T19:06:41+0900,855761498423689457,0,0,0
hjy0****,BV7h,정치적 불법파업을 한다면 이들은 국가에서 해체해야할 집단이다 노동자 단체가 아니고 민주당 정치집단의 하수세력이기 때문이다,True,1,2025-04-03T19:06:07+0900,855761461916467244,4,0,0
sdh1****,2vj2k,전부 총살,True,1,2025-04-03T18:58:24+0900,855760964220354699,4,0,0
wydy****,5ithh,총파업해 거리에 나와 싸우면 ! 국군동원해서 파리잡듯 다 쏴 지기뿌라 우하하하하하,True,1,2025-04-03T18:41:20+0900,855759864926830709,4,0,0
oym7****,7yz1C,"민노총도 직장인이잖아  
회사일에 충실히 정치선동 그만하자",True,1,2025-04-03T18:38:39+0900,855759691886625014,4,0,1
7man****,DbJn,"국가내란세력 민노총, 여당에는 결과에 승복하라고 핏대를 세우면서 자기들은 결과에 승복 못하겠다는 저질스런 집단",True,1,2025-04-03T18:17:17+0900,855758315198611570,4,0,0
smil****,1Fumh,"민주노총에 간첩이 나왔는데도 그 뒤로 하는 짓이 전혀 변함이 없음. 민주노총 자체가 간첩집단이라는 뜻. 같은 간첩집단 거대야당은 같은 편에 같은 소리내고 있고, 국힘과 정부는 민주노총 이길 힘이 없어서 쩔쩔 매기만하고, 관심없는 국민들은 나몰라라 위기상황 파악도 못하고.. 나라 걱정에 잠 못 이룬다",True,1,2025-04-03T18:15:35+0900,855758205710500055,4,0,0
dnjs****,1o5Om,노조가 정치질 하고있네. 사업주하고나 협의하지 왜 국민들 힘들게 해!,True,1,2025-04-03T18:08:22+0900,855757741048725636,4,0,0
abcu****,,,False,1,2025-04-03T18:00:19+0900,855757222263652473,0,0,0
soek****,T895,기각이 확실한갑네.  찢재명과 민노총이 발작하는걸보니ㅋㅋㅋ 정계선이가 갈키주드나ㅋㅋㅋ,True,1,2025-04-03T17:57:11+0900,855757020098199622,4,0,0
seun****,3P7rI,직장폐쇄하고  저것들  다  잘라버려라~,True,1,2025-04-03T18:58:23+0900,855760963297607831,4,1,0
