user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
minh****,2Nhws,채림이 왜 이혼한지 알겠음 ^^,True,1,2024-12-19T21:17:49+0900,846028960780255512,2609,460,49
cool****,,,False,1,2024-12-19T21:19:28+0900,846029066711597210,0,0,22
jhk0****,64VD1,무식한 딴따라 주제에 알량한 지식으로 국민들 갈라치기 했으면 눈치라도 있어야지. 스스로 죄송합니다 하고 취소해라.,True,1,2024-12-19T21:18:20+0900,846028993042841717,950,152,17
ljd1****,,,False,1,2024-12-19T21:19:02+0900,846029038592983055,0,0,40
onwi****,5QK2T,채림 진짜 잘했어요,True,1,2024-12-19T21:18:56+0900,846029032603517242,347,42,8
meta****,Uz1E,김제동 이승환 이런 자들한테 이럴거면 북이나 중국 가서 살라고 하면 자신들은 북괴니 중국응 찬양하는게 아니라 깨어있는 시민으로서 잘못된걸 바로잡우려 한다고 말함 ㅋㅋㅋ 지들이 숭배하는 문쟈인 이재명이 멀 하는지 뻔히 알면서도 구라 침 ㅋㅋㅋ 진보?? 니들은 진보가 어니라 민주주의 탈을 쓴 그냥 공산당이,True,1,2024-12-19T21:29:53+0900,846029737229812009,220,11,4
rct8****,2u0GB,"미군철수, 국가보안법 폐지 주장하는 촛불행동ㆍ민노총이 주최하는 집회에 지속적으로 나온다는 건, 베트남 처럼 공산화 되길 바라는 듯? 그리고 나이도 먹을 만큼 먹었잖아? 아니면 국제정세에 까막눈인가?",True,1,2024-12-19T22:46:18+0900,846034660604510315,142,5,9
iy58****,TRWg,젤  역겨운 좌파 늙은이,True,1,2024-12-19T21:20:01+0900,846029101507543045,147,13,5
neil****,2isxC,40전에  좌파아니면  심장이 없고 40넘어서도 좌파면 머리가 없는거다라는  말이 있지,True,1,2024-12-19T21:27:17+0900,846029569860304973,138,9,3
kpic****,16NUy,저인간은 그냥 처음부터 끝까지 좌파다 아무리 보수가 잘해도 절대보수칭찬할 인간아니고 민주당 이죄명이 같은 범죄혐의자 한번 제대로 비판한일 없는 좌편향 골수 분자다 구미에서 절대 공연 못하게 박살 내버려라,True,1,2024-12-19T21:51:35+0900,846031136147636431,121,7,0
loui****,5Ox85,가수님의 의견을 존중합니다. 그럼 이재명에 대한 재판도 같은 기준에 노래 해주세요. 우리는 공정한 사회를 원합니다.,True,1,2024-12-19T21:56:48+0900,846031471691956507,99,3,4
indr****,2kvI3,"왜 민주당 돈봉투 무마 법룰 통과 시킨것에 대한 의견은 얘기안하냐?
승환 너는 절대로 민주주의란 단어를 입에 올리.지마라.

채림이가 정말 좋은 결정한것 같다.",True,1,2024-12-19T21:21:32+0900,846029199973023921,77,4,0
5520****,2cqwZi,하필이면 왜 구미야 전라도로 꺼져라,True,1,2024-12-19T21:21:50+0900,846029219417817356,70,4,2
star****,eRJOW,이게 누구신가 조국 절친 아니신가,True,1,2024-12-19T22:11:59+0900,846032449719763277,65,1,2
jang****,2y73c,뇌가없나?  찢죄명을 좋아하는  이유가  뭔지?  동병상련?,True,1,2024-12-19T21:22:03+0900,846029233040916492,65,4,6
brav****,aqMDb,연예계에 좌파가  많은 이유??  멍청한 백성들을 선동해먹기에 딱 좋으니까!~~,True,1,2024-12-19T21:38:14+0900,846030276080435274,63,2,1
sjdd****,5PUBP,야당이 잘못하는것도 지적할줄 알아야 진정성을 인정받는다. 그렇지 않으면 그냥 좌파일뿐~~,True,1,2024-12-19T23:03:46+0900,846035786137600288,53,1,2
jell****,cBL5z,"이식히 2016년에 일본 전범기업 미쓰비시 건물 제프다이버시티... 유니클로도  입주한 곳에서 콘서트도 열었드만  입으로 똥을싸는 인간 일본은 왜 이승환 일본 입국을 안막냐? 이승철은 독
도에서 공연했다고 일본입국 막았다던데? 그리고 김어준 주진우 김제동 이런 반일반미 주의자들도 다 입국 막아야된다",True,1,2024-12-19T22:36:07+0900,846034004984463419,52,2,1
co_s****,3HGED,웃긴다. 죄빨들이 기겁하며 온갖 날조로 공격하는 구국영웅이자 영원하고 위대한 박정희대통령 고향에서 뭔 낯짝으로 하려들까? 부끄러움을 모르는 죄빨근본이라서 가능하지.,True,1,2024-12-19T21:21:56+0900,846029225407283517,51,2,1
topo****,2bC8AY,가요계의 열등아 찌질이가 보수심장에서 공연을? 우파가수가 광주에서 공연가능할까? 폭망하게 만들어야죠,True,1,2024-12-19T21:26:29+0900,846029518824014007,51,5,0
hha0****,3smwC,"탄핵 반대한 연예인 강천석은 그날로 짤렸더고먼
좌파 연예인은 막말 선동을 해도 잘나가는 시대는이젠 끝이라는걸 보여줘야  연예인은 연예인으로만 남길",True,1,2024-12-19T21:39:13+0900,846030339045326926,45,1,1
moon****,2IKUW,무슨 콘서트야 너는 탄핵집회 가서 개딸 떨거지들하고 노래나 해라 ㅋㅋㅋ,True,1,2024-12-19T21:56:00+0900,846031420152348675,40,1,0
35sm****,AK8V,조국 지지하더니 대법원 판결 나와 구속된  후  아무 말이 없냐? 쌍방울 방북비용 성남 부시장 7년 8개월 받은건 또 아무말이 없고... 지네 편은 죄를 지어도 우덜끼리인거냐??,True,1,2024-12-19T22:59:09+0900,846035488174243898,37,1,0
7458****,,,False,1,2024-12-19T21:41:04+0900,846030458264223768,0,0,1
ht00****,33yaB,"공인이 정치색을 띄는 순간 그인생도
 끝났다 봐야된다..3김시대도 이정도로 나라가 분열되진 않았다..이념으로  나라를 둘로 쪼갠...문재인은 훗날 역사에 가장 오점인 지도자로 남을꺼다.",True,1,2024-12-20T00:34:23+0900,846041623551803459,34,2,1
