user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
suop****,,,False,1,2025-01-29T21:11:25+0900,849832170963861604,0,0,32
sung****,67d1A,하나회 보다 더 무서운것들이 전라도 우리법연구회,True,1,2025-01-29T21:14:06+0900,849832343366533148,1492,116,34
zzas****,2kg2L,탄핵 무새 민주당에게 경종을 울리기 위해서라도 대통령 탄핵 시키면 안된다. 쟤들은 다음 다다음 다다다음 대통령이 국힘이 되면 무조건 또 탄핵거린다 지긋지긋하다 그느매 탄핵. 언제부터 한국에 탄핵이 이렇게 쉬운 단어였냐. 한번 탄핵 성공하니까 국정 안하고 죙일 탄핵 거리는 버릇 고쳐놔야한다.,True,1,2025-01-29T21:12:48+0900,849832260470309048,1057,101,16
reed****,1mZFY,"보수가 한번 양보한 자리는 영원히 되찾을 수 없다. 좌파 사전엔 식탐만 있지, 양보는 없으니까.",True,1,2025-01-29T21:19:36+0900,849832698556973198,447,30,8
kyeo****,ctTqR,"좌파가  점령한 찢가 개하수.떨꺼지들 판치지만..  그래도.
. 나라를 치키려는  거룩한 분들도 계시니 그나마 다행 입니다. 기각. 판결 하여주신 판사님(분) 들에게  삼대가 평온하며 무병장수 바람니다 //////반면. 찢가.  전과4범 지지하는 개판사 들은 길가다  급살(급사)하여  나라에 애국 하시길 간곡히 ......",True,1,2025-01-29T21:13:28+0900,849832303319318648,359,47,9
ejbh****,,,False,1,2025-01-29T21:24:56+0900,849833041986584819,0,0,0
nang****,4r3zM,마은혁은 사회주의 혁명 지하조직 인민노련의 핵심멤버였다  절대 헌법재판관이 되어서는 안된다,True,1,2025-01-29T21:52:11+0900,849834797671907373,118,9,2
ycha****,5P2r6,"2일 근무가 4:4인게 충격적이죠. 이런식이면, 다수당  압력에 관료와 대통령은 마비 됩니다. 3권 분립도  아니죠.  이미 비정상 국가입니다.  일전에 북한공산세력과 민주당이 우리가 주인이다 외쳤을때  귀를 의심했죠.  계엄 이후 상황을 보니  사법부터 밑에까지 공산 시스템을 갖추고 있었던 거지요.  그들 국고약탈 부정부패 조직범죄테러 카르텔 북한 5호감시 테러 범죄로 세를 구축,  그래서 검수완박등 법과 사법기관 안보를 무장해제 시킨거지요.  그물 쳐놓고 분노유발,  침묵을 강요하고,  국민 누구도 안전하지 않죠",True,1,2025-01-29T22:27:19+0900,849837060297588811,85,5,2
qhdr****,5yoG7,헌법재판소 가 이념에 빠져서 중심을 잃으면 헌법재판소 존재 이유가 없다고 생각한다 오직 헌법은 공정해야한다 그러나 지금의 헌법재판소 재판관들이 얼마나  공정하게 할지 국민의 한사람으로서 걱정된다,True,1,2025-01-29T22:08:58+0900,849835879114473704,81,4,2
wmh9****,3o7Ov,법조좌파하나회  우리법연구회 척결하지  않으면  헌법재판소 존재할 필요가없다 해체 해야된다   헌법을 재판하는게아니고  이념에따라 재판하는게  말이되나 국민은 용납할수없다,True,1,2025-01-30T06:57:39+0900,849869938809110574,77,1,0
