user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
gpft****,4xmJ7,"차정인 후보는 절대 안됩니다,부산대 총장시절 조민 한테 미안해 조민 외친 사랑 이고 공정에 어긋난 인물~~",True,1,2025-03-03T16:06:41+0900,852873991205945559,62,3,1
utre****,2c0ZCa,부산시민들 정신차려요~~ 조민에게 미안하게 생각하는 이상한 정치인한놈 있습니다. 뒤로 어떤 거래들이 있었는지 모르지만 부산대 전총장이라고 하니 반드시 생매장하세요~~~,True,1,2025-03-03T17:11:36+0900,852878173380018343,33,1,0
so_a****,3OYma,조민에게는 미안하고 조민때문에 떨어진 학생에게는 안미안하니 썩은 좌파들 몰아내자,True,1,2025-03-03T17:16:07+0900,852878464145948704,18,3,0
chih****,3xSBI,4월 2일이면 탄핵 가결이건 부결이건 결정나거나 못해도 절차만 남아있는 상태일텐데 반대 어쩌구는 별 의미 없어보이네요. 그리고 조민 미안해는 영화 기생충에서는 1년도 안 지나서 결정났는데 현실판은 10년씩이나 끌며 단물 다 빼먹은 아주 끔찍한 사건인데 이걸 옹호하는건 다른 정상적인 학생들과 학부모를 모욕하는거 아닌가요? 후보들 상태가 좀...,True,1,2025-03-03T16:04:59+0900,852873882204373297,12,1,0
hwv3****,44zWR,저게 인간이냐? 조민이로 인해 실력 있으면서도 억울하게 떨어진 사람에게는  안미안하고?,True,1,2025-03-03T17:18:11+0900,852878597994577973,9,1,0
harr****,6vOM5,윤대통령이 계몽령을  한 이유가 요기서도 나온데 범죄자 한테  미안 하단 자가 교욕감 ~에 이  랏,True,1,2025-03-03T17:29:26+0900,852879322904526975,5,0,0
ldj9****,1bzGh,"부정 입학한 조민에게 지켜주지 못해 미안하다는 차정인 전총장,기가찬다.",True,1,2025-03-03T17:28:51+0900,852879284803469591,3,0,0
osw0****,1Jwiq,입학비리로 처벌받은자한테 미안하다는 교육감 후보......대한민국 좌파가 많은건 교육의 문제다.....,True,1,2025-03-03T17:27:36+0900,852879204021174439,3,0,0
jung****,3ch8Q,대가리가 어떻게 되어 있으면 조민이를 못지켜주었다고 생각을 할까? 범죄를 저질렀으면 마땅한 벌을 주는게 스승의 도리 아닌가? 그럼 앞으로 죄다 부정으로 입학서류내도 괜찮다는거냐?,True,1,2025-03-03T17:18:51+0900,852878640675815683,3,0,0
sgc9****,3zGp3,"아이들 교육에 정당색은 버려라.
보수.진보보다는
그냥 아이들을 위한 공약으로 미래비젼이 있는 후보들에게 한 표를...",True,1,2025-03-04T06:44:00+0900,852930511717269506,2,0,0
