user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jym5****,3wUvf,너희들이 탄핵 소추한 사람들 헌재에서 기각하면 더불당 너희는 해체가 답이다.,True,1,2025-03-08T23:18:47+0900,853365686058090741,1609,72,23
park****,74HQl,심우정 검찰총장 탄핵????? 민주당아 지귀연 판사도 탄핵하지??? 니들 마음에 안들면 다 탄핵하니??  위헌정당 민주당 해체가 답이다,True,1,2025-03-08T22:57:53+0900,853364339132858643,1051,27,17
dfbe****,1YbZK,부정 선거로 국회의원 뺏지 달고! 자기들 편 안 들면 모두 탄핵! 기가 막힌다. 진짜! 빨리 선관위 특검해서  조기 총선해야 된다!,True,1,2025-03-08T23:17:14+0900,853365585461903429,582,16,12
limt****,djhjq,또 시작이네 니네는 탄핵 기록세우냐? 적당히 해라,True,1,2025-03-08T22:58:16+0900,853364364449677394,309,10,11
yuki****,YxaF,박찬대는 찢보수괴의 딸랑이로서... 찢보수괴의 코꾸멍 파주는데 세계 제1의 기술을 가진... 아주 더어티한 주우둥이를 가진 사람입니다,True,1,2025-03-08T23:07:17+0900,853364944505143370,298,12,8
kych****,56iHW,"이 정당은 아는것이라고는 탄핵 밖에 없다보니 허구한날
탄핵을  하겠다고 난리니  국민들은 살기 어렵다고 탄식이  나오고 있는데 이것은 모른체  하고 무슨 국민을 위한 정치를 한다고 떠들고 있나?",True,1,2025-03-08T23:43:29+0900,853367277091815557,106,1,1
bser****,2xT7H,"맘에 안든다고 죄다 탄핵해버리고 국정마비되면 이재명이 참 좋아라 하겠네..  두시간 계엄은 내란이라 게거품 물고, 지네는 줄특검, 줄탄핵, 무분별한 예산삭감, 헌재 사유화, 선관위 불법 비호...  죄다 니네 민주당이 나라 말아먹으려 벌이는짓..  계엄이 정당화 될 사유는 차고도 넘친다.",True,1,2025-03-08T23:31:18+0900,853366492270428235,80,3,1
yoon****,39FL9,"꼬딱찌 찬대야....너희는 국민께 충성하지 않고
  범죄자 도둑놈 가짜총각 전과4범 점박이한테 충성하잖아",True,1,2025-03-08T23:26:54+0900,853366208467042560,62,1,0
yjli****,2IWM1,그랴 탄핵 30번 채워야쥬? 세상 어느 나라 야당이 정부관계자 30번 탄핵했던 나라가 있더냐? 탄핵30번 하는데 어떤 나라가 정상적으로 돌아가것냐? 이는 전과5범놈 이 감옥에 가지 않으려고 하는 범죄자 한놈이 모든사태의 핵심 원인.,True,1,2025-03-09T08:08:44+0900,853399827239665775,60,1,2
jok5****,3K63k,또 탄핵이냐? 탄핵밖에 모르는 민주당은 없어져야. 이재명 선거법 유죄받고 이재명과 민주당이 공중분해될것,True,1,2025-03-08T23:22:01+0900,853365893474811911,50,1,1
dewy****,,,False,1,2025-03-09T09:40:39+0900,853405749412364432,0,0,1
pink****,2IwnP,"또 시작? 그래  탄핵해라..29번이나..30번이나..
선거 앞두고...잘해봐라",True,1,2025-03-08T23:53:41+0900,853367934020485318,38,1,3
y202****,coASE,"코딱지 찬대야, 지난번에 심우정 총장이 전국 검사장 회의를 하여 윤통을 구속 기소할 때는, 입에 침이 마르도록 칭찬을 하더만..... 이 노옴들아, 이번에는 법원이 결정한 일이다. 찢아바이 2심 선고가 겁이 나, 판새들 한테는 짹소리도 못하는 구먼 !",True,1,2025-03-09T07:31:26+0900,853397424624894000,32,1,0
his2****,,,False,1,2025-03-09T08:14:21+0900,853400189728194619,0,0,0
rjt1****,,,False,1,2025-03-09T08:15:57+0900,853400291951771823,0,0,1
