user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
youn****,2ciI6O,대한민국 헌법을 유린하고 의회민주주의를 부정한 윤깡통 도우미당 국민의적당 니들은 분노의 투표로 심판받는다 소신투표 안철수 힘내라 파이팅,True,1,2024-12-07T17:53:38+0900,844902550040740325,1998,162,28
tksu****,44Pcg,국민의힘 니들이 국회의원이냐...꺼져라...국민보다 니들 개인의 영달과 니들당만 생각하는것들이 국회의원 빼찌를 달 권리가 있다 생각하냐...이나라에 국민의힘이랑 당은 없다 그냥 계엄에 동조하고 공모한 범죄자만 있을뿐....대선이든 총선이든 기사에 거론된 인간들이 국회의원 빼찌를 달 일은 없을거다...,True,1,2024-12-07T17:58:55+0900,844902891205427847,1087,62,15
sejg****,1cDPf,불참자 명단 잊지 않겠다 . 모두 내란 범죄자들이다,True,1,2024-12-07T17:55:03+0900,844902641594007585,819,58,21
doha****,cDdE7,"국민의힘이 보수 다수당 차지하면 영영 정권 못 잡겠구나.. 
안철수는 진짜 대단한거고 소장파 타령하는 꼴값하던 애들 쟤네가 젤 어처구니 없다 ㅋㅋㅋ 젊은 보수라고 자화자찬 하던 애들이 앞과 뒤가 다른 구태스러운 애들인듯",True,1,2024-12-07T17:54:41+0900,844902618290455033,423,18,7
just****,,,False,1,2024-12-07T17:54:12+0900,844902586950615175,0,0,10
tech****,2VHfJ,김용태 김재섭 저 이름 꼭 기억합시다. 지금 10 20대 30대 40대 여러분 저 청년정치한다고 떠들던 저 두인간 꼭 기억하세요.  위헌이라고 하면서 탄핵은반대.  영혼없는 것들이 무슨 국민을 위해 일을 하겟어요?,True,1,2024-12-07T18:04:08+0900,844903226967851114,262,19,9
7904****,2Yksr,국민의힘 107명 의원이 국민들의 생긱을 대변하는겁니까? 고작 107명이 지금 온 대한민국의 국민들의 생각과 의견을 이렇게 짓밟아 버린다는게 말이 됩니까? 국민의힘 107명은 대한민국민들의 반역자입니다,True,1,2024-12-07T17:59:59+0900,844902959723578004,266,28,14
sjhw****,ytm7,설마 이정도로 쓰레기들줄은 정말 몰랐다. 나라를 생각하는 8명은 꼭 있을거라고 생각한 내가 참 순진했네..,True,1,2024-12-07T18:17:18+0900,844904075173560473,249,13,1
vimo****,623Bx,"저 107명의 의원직을 박탈해야 한다. 헌법을 수호하고 국가의 안위를 위해 일하라고 국민의 피땀어린 녹봉 받아쳐먹으면서 태만, 직무유기, 국기문란을 앞장서며 내란피의범들 보호나 하니 저것들 의워 직을 박탈해야한다. 정치인으로서의 명분도 존재이유도 없다. 당신들이야말로 반국가세력이다!",True,1,2024-12-07T18:04:28+0900,844903248694346077,197,26,2
fndl****,1JQKv,안철수 의원님 존경합니다,True,1,2024-12-07T17:55:12+0900,844902651408679053,149,14,5
jw30****,AUlp,"저들은 이제 더이상 기회를 놓쳤다.
이제 국민배신한 그죄가 얼마나 가혹한지 곧 알게 될꺼다.
자신들의 비리가 드러날까봐 끝까지. 국민보다. 자기밥그릇 지킨것들의 말로를  꼭 지켜 볼테고 니들은 앞으로 국민 민생 그 더러운 주. 디로 짖지마라.
이제 길에서 만나도. 니들은 배신자 란 말만 듣게 될것이다.
눈물난다.",True,1,2024-12-07T18:02:49+0900,844903141873812014,141,9,0
gw05****,49T1X,이걸 어떻하냐....비상식적 비상계엄도 탄핵이 안되는구나...노무현은 말실수 했다고 탄핵했던 정당....부끄럽지도 않니...국회의원 뺏지가 그리 좋더냐...,True,1,2024-12-07T18:04:08+0900,844903226531643499,111,4,3
hhhh****,2Cgm2,어 씨 나 우리나라 사랑하네 눈물나네 호명하는거 보니,True,1,2024-12-07T18:04:15+0900,844903233997504684,112,9,5
xcar****,4Acci,국짐당 107명....다음 총선때....무조건 아웃이 된거 축하한다,True,1,2024-12-07T18:00:41+0900,844903004837511655,107,17,4
endd****,37fAl,안철수의원님 존경합니다. 지금 이상황에서 자리에 있으신것만으로 국민의한명으로써 존경합니다.,True,1,2024-12-07T18:09:51+0900,844903594976084521,90,10,1
babo****,3weTE,저 명단을 꼭 기억합시다,True,1,2024-12-07T17:58:41+0900,844902875183186393,82,5,0
yang****,4mIk6,국암당 의원을 뽑아준 지역민들!!! 함께 책임지시라. 당신들 손으로 뽑아놓은 것들이 내란범을 보호하는 언행을 했으니 말이다.,True,1,2024-12-07T18:03:12+0900,844903166267883658,74,7,0
mayg****,1iQKp,107명의 내란동조범,True,1,2024-12-07T17:59:47+0900,844902946519908872,75,10,0
best****,8GVOn,안철수 응원합니다!!!,True,1,2024-12-07T17:58:04+0900,844902836260044847,66,9,0
yds0****,2OykH,국민.나라보다 정권이 더 중요한 내란공조범들. 역사는 당신들을 기억할 것이다.,True,1,2024-12-07T18:15:36+0900,844903965316350337,56,3,0
cn22****,G83h,훗날 역사 교과서에 저 명단을 실어라,True,1,2024-12-07T18:05:54+0900,844903340465717924,53,4,0
silv****,5fuUN,밤길 조심해라 니들은 을사오적이랑 같은놈들이다 이제부터,True,1,2024-12-07T17:59:43+0900,844902942191387152,52,4,2
mina****,,,False,1,2024-12-07T18:04:39+0900,844903260304179681,0,0,0
jenn****,2uJ9a,잊지 않겠습니다. 국민을 무시하고 개인의 이익만을 쫒는 당! 절대로 잊지 않겠습니다. 그리고 보여 주겠습니다. 국민의힘은 없어져야할 1당입니다. 안녕히 가십시오.,True,1,2024-12-07T18:16:37+0900,844904031032705442,46,4,0
saku****,2vYko,사격 진종오 상놈,True,1,2024-12-07T18:01:29+0900,844903056444227933,43,3,2
sunn****,,,False,1,2024-12-07T18:29:46+0900,844904878617657720,0,0,2
dh1s****,1133M,"이 명단은 내란 반역자들과 동조한  인간들이다.
절대 잊어선 안된다
국민은 안중에도 없고 자기들 이익만 바라는 저 인간들은 더이상 국회의원이 아니다.",True,1,2024-12-07T18:16:13+0900,844904005162238089,37,1,0
inee****,3HDUd,"국회 안에 내란공범이 106명이나 있었다. 윤석열, 한동훈은 영원한 비겁자.",True,1,2024-12-07T18:27:58+0900,844904761747571260,37,3,0
zzen****,x611,"이렇게 중요한 국가사안을 결정하는자리에서 찬성이든 반대이든 의사를 표해야지 국민이 준 대표로서의 역할을 하지않은 국회의원들은 직무유기임에는 틀림없고 국민들은 오늘 자리를 이탈한 자들을 꼭 국민의  대표자리에서 내려야합니다. 
국회의원은 국민을 대표해서 나라를 위해 일해 달라고 뽑은 국민의 세금으로 일하는 자들입니다!!!!!!!!",True,1,2024-12-07T18:11:37+0900,844903709245702565,36,2,1
sil0****,2AZFk,국민을 무시해도 유분수지.. 국회앞에서 집에서 지켜 보고있는거 알면서 .. 보란듯이 처나가네.. 정말 이기적이고 인간같지않은것들..  오늘을 후회하게 될꺼야,True,1,2024-12-07T18:13:12+0900,844903810580086925,34,5,0
anim****,1fwXH,탄핵 또 하면 됩니다. 진도개 처럼 한번 물면 놓아주지 맙시다. 흐흐흐  지치지 말고 끝까지 합시다.,True,1,2024-12-07T18:18:32+0900,844904155049886003,32,6,2
fuck****,19FfG,국힘엔 정말 인간이 8명도 안된다는건가,True,1,2024-12-07T18:34:54+0900,844905208994595335,26,2,0
alov****,3PpSx,국민의힘 그간 나랑 정치적 성향만 다르지 존중해야한다 생각했는데 오늘부로 내 인생에서 국민의힘을 투표하는 일은 없으리라 다짐했음. 국힘은 나같은 수많은 표를 잃은거다… 정치 생명 끝,True,1,2024-12-07T22:53:49+0900,844921889154400532,26,3,0
wooz****,1cvsz,윤거니 하는 짓거리를 보고도 국짐당 108석 찍어서 특검 탄핵도 못하게 만든 2찍 개돼지들이 모든 책임을 져야 한다.,True,1,2024-12-07T18:05:22+0900,844903306189865277,25,3,1
karm****,scEi,진짜 폭동이라도 일어나야 정신차릴려나 저것들은...,True,1,2024-12-07T17:59:01+0900,844902897379442714,23,4,0
hsk0****,,,False,1,2024-12-07T18:01:49+0900,844903077516411492,0,0,0
gang****,3JZiW,기억하자 간신 107인 처단하자,True,1,2024-12-07T18:01:19+0900,844903045153161434,21,2,0
heyd****,2aaPj,국민투표로 탄핵 할 순  없나요?',True,1,2024-12-07T20:16:00+0900,844911721758851074,18,1,0
jjon****,1we1I,아 욕나와,True,1,2024-12-07T17:59:17+0900,844902914190213321,18,1,0
anyt****,290x9,국민투표라도 해서 개헌하고 국힘당을 해체하자,True,1,2024-12-07T18:05:45+0900,844903331154362967,22,6,0
seab****,5hAy7,얼굴도 모두 공개하자,True,1,2024-12-07T18:00:34+0900,844902997119992193,17,1,0
eehh****,2l34X,"진짜 국민의힘은 이제부터 국회의원도 아니다 
이러라고 뽑힌건 아닐텐테 참 짜증난다",True,1,2024-12-07T17:55:23+0900,844902663303725352,21,6,0
sunm****,2Ykjb,이제는 시민들이 나설 차례입니다 내란음모죄 동조한 국힘은해산 하고 대통령은 법의 심판대에 새워야할차례입니다,True,1,2024-12-07T18:09:40+0900,844903583081038291,15,2,0
napi****,is8X,"역시  궁금했던  것을  올려주셨군요!  
기억하겠습니다,  당신들 이름을!!! 
국민을  기만하는 당신들!",True,1,2024-12-07T18:07:00+0900,844903411299123208,15,2,0
gusw****,2iYcB,"되풀이되는 슬픈역사에 늘 우리나라 보수집단이 있다..그들은 좌파를  외치지만  나라의 근간에
  큰 사고를 치는건 늘 보수집단이였다",True,1,2024-12-07T18:12:06+0900,844903740048670810,14,1,0
mink****,8kqNg,내란동조죄 수감 대상자들이다,True,1,2024-12-07T17:58:53+0900,844902888084865625,15,3,0
ljs4****,4DoaR,"국민의힘은 국민을 져버렸다.
잘못한 정책은 바로잡고 자리에서 남았어야지.
국민은 다보고있다..
모지리들...",True,1,2024-12-07T19:37:09+0900,844909219420307535,14,2,0
john****,1efZI,국힘당 너희들은 결국 국민의 큰짐이 되기를 택했구나. 나라와 백성보다 다 지 살길만 찾는 인간들. 말도 안되는 윤씨의 망동보고도... 저 국짐당 인간들 다 내란 공모죄로 수사받도록 해야 한다. 결국 국짐당 너희는 망할것이다..,True,1,2024-12-07T18:04:43+0900,844903264179716687,14,2,0
mdrd****,2rTvb,국짐당을 해산시켜라.,True,1,2024-12-07T18:25:36+0900,844904609427226955,13,1,0
haru****,15A1k,앞으로의 역사에 을사5적과 함께 항상 거론될 명단이 아닐까합니다,True,1,2024-12-07T18:08:53+0900,844903533219152549,13,1,0
jjil****,6q8Zx,배.신.자.국.민.의.짐.O.U.T,True,1,2024-12-07T19:01:42+0900,844906935873438106,12,0,0
hima****,BH21,통진당 해체하듯이 우리도 국짐당 해체 합시다!!!,True,1,2024-12-07T18:19:02+0900,844904186708492309,12,0,0
baul****,1iZ8S,그러니까 국회의원 선거할때 잘해야 합니다~~아 정말 이 상황 부끄럽다~~,True,1,2024-12-07T18:05:58+0900,844903344609690318,12,0,0
mong****,1M8CH,안철수가 단일화 안했음 이사단도 안났다,True,1,2024-12-07T17:57:23+0900,844902792253407508,15,4,1
ajs3****,C5VD,"경상도,강원도 사람들 잘보이소.당신들이 뽑은 놈들이오.이게 현실이오.당신들은 군화발에 짓밟혀도 싸요.",True,1,2024-12-07T18:07:47+0900,844903461915984422,14,3,3
shim****,2IC3m,캡쳐해놓음 여기있는 이름 절대 안뽑는다. 국민보다 당이 먼저냐? 토나온다,True,1,2024-12-07T22:13:33+0900,844919295514247393,12,1,1
hhhh****,2Cgm2,탄핵 국회한테 맡길 수 없다 국민투표 하자 십,True,1,2024-12-07T18:01:12+0900,844903037536305272,12,1,0
vlql****,PmDd,또 단체로 우르르 모여서 카메라앞에서 저희가 죄송합니다  절한번하고 당이름바꿀듯  뻔한 레파토리,True,1,2024-12-07T23:35:53+0900,844924599513645362,11,0,0
char****,Z5aG,정당투표 하지 말고 국민투표 하자,True,1,2024-12-07T21:38:24+0900,844917030657196349,11,0,0
tony****,AL0g,기억하자 105명 저것들은 국민이준 투표권을 쓰지도 않고 나가버렸지 뽑을 필요 가치가없다  명단 만들어서 선거때마다 올리자 비겁한 공범자들,True,1,2024-12-07T20:53:20+0900,844914127846506622,12,2,0
here****,5g7uK,도봉의 김재섭의원! 비상계엄 해제 요구결의안에 참석했던 김재섭의원님!! 정말 실망입니다!! 당신은 좀 다른 의원이라고 생각했는데! 도봉구의 중고등학생들에게 부끄럽지않습니까??!! 아이들에게 본인을 ‘형아’라고 하더니만! 아이들은 당신을 ‘형아’라고 부르는데!!!! 지금 어디계십니까?! 다시 국회본회의장으로 돌아가십시오!!!!,True,1,2024-12-07T19:05:04+0900,844907151880093734,12,2,0
anim****,1fwXH,"잘 기악해두시고 복사해서 화장실에  붙여 두고 한번씩 똥묻은 손으로 문대줍시다, ㅋㅋㅋ 우리 지역구 주진우  저 늠도 있네. 어차피 담번에 혼순헌 한테 게발리겟지만...",True,1,2024-12-07T18:17:12+0900,844904068982767733,11,1,0
cord****,1Ktql,탄핵피하면 끝난거 같냐  당신들은 국민의 의견을 대변하는게 아니라 본인들 욕심으로 오히려 더 소멸될걸 기대해라,True,1,2024-12-07T22:49:11+0900,844921590956163155,10,0,0
hjsi****,3nxpO,"국회와 공화문 앞에서  떨면서 국가의 안위를 바라고 노력하고 있는데 무책임하게 투표도하지 않는 국힘은 각성하라.
선거할때는  한표를 달라고 비굴하게 굽신거리더니  당선되고 나니까  국민을 외면하는 국힘은 각성하라.",True,1,2024-12-07T19:27:45+0900,844908614048022924,10,0,0
heji****,4Pn9L,내란동조자 명단.. 기억하겠습니다.,True,1,2024-12-07T18:19:32+0900,844904219155628315,10,0,0
lyun****,3IWDn,매국노들,True,1,2024-12-07T18:17:38+0900,844904096363184505,10,0,0
sshe****,2cj3i3,역사에 길이남을 반역자들,True,1,2024-12-07T18:09:33+0900,844903575900389811,10,0,0
myca****,2JW8l,친일파 리스트같네 저놈들은 끝까지 보이콧이다,True,1,2024-12-07T22:55:45+0900,844922013708452110,11,2,0
look****,3r4tI,107명은 내란 동조자들이다. 역사가 기억한것이다.,True,1,2024-12-07T18:07:37+0900,844903451681882575,10,1,0
pcs9****,,,False,1,2024-12-07T23:16:58+0900,844923381403877777,0,0,0
