user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
hanj****,1Rp2d,사퇴하시면 안됩니다 새로 임명된 위원장을 쫒아내셔야합니다,True,1,2024-12-09T17:22:15+0900,845086070587523194,316,7,4
reji****,,,False,1,2024-12-09T17:36:05+0900,845086962112004133,0,0,0
limo****,1hNk1,"참된 공직자네요. 이런 공직자들의 정신을 훼손
시키는 공위 공직자들은 반성하세요!",True,1,2024-12-09T17:40:47+0900,845087264974307642,78,2,1
kiss****,2whgV,지금까지도 꾸역꾸역 임명권 행사하는 석열이를 빨리 끌어내려라. 정신상태가 정상이 아닌자가 나라를 운영하고 있다.,True,1,2024-12-09T17:51:39+0900,845087965037199616,56,1,0
wink****,2cuXYP,"진실위 임명 되면, 뇌물인지 선물인지 어쩐지는 모르겠으나 진실위원장 제부 되는 헌법재판관을 이해관계인으로 탄핵심판에서 배제하여야 합니다.",True,1,2024-12-09T17:40:13+0900,845087228836184163,54,1,1
tori****,yWZd,그간 다방면에 이런식의 낙하산 인사가 얼마나 많았을까. 그러니 나라가 제대로   돌아갈리가  없지ㅠㅠ,True,1,2024-12-09T17:58:24+0900,845088399885861037,17,0,0
yuji****,2ipuP,"그만두는 분들 많아지는데… 그만두지 마시고 그자리에서 용기 내주시는것도 필요합니다… 
국힘 보세요… 당이 이상하다며 몇몇 탈출하더니 이제는 제정신인 사람이 없잖아요…
제대로 뭔가 하려면, 굴러가려면, 그 자리에 용기내실 분들이 필요합니다…",True,1,2024-12-09T18:44:45+0900,845091386582630691,17,1,1
extr****,,,False,1,2024-12-09T18:04:24+0900,845088786466472097,0,0,0
smoo****,,,False,1,2024-12-09T18:03:02+0900,845088698201538583,0,0,0
john****,1m8Gy,여가부 폐지론자를 여가부장관 시키고 성소수자 탄압하는자를 인권위원장 시키고 독재자를 찬양하는자를 진화위 위원장 시키고...... ㅋㅋㅋ,True,1,2024-12-09T17:47:34+0900,845087702473769224,11,0,0
luqi****,3og4e,사퇴하지말고 말도 안되는 인사를 고발해야지,True,1,2024-12-09T17:34:24+0900,845086854368723088,10,0,0
kms1****,15wdL,박선영 전직 아나운서 출신으로 극우보수 이런 여자를 진실화해위원장이라니 황당하다 윤 이놈 극형으로 다스려 정의가 살아있음 꼭 보여줘야 한다.,True,1,2024-12-09T22:57:11+0900,845107649073643581,11,2,0
ggst****,2r9c9,이런 게 인간의 도리라는 겁니다. 윤석열 무리는 금수만도 못함,True,1,2024-12-09T19:50:10+0900,845095601036066886,10,2,0
hh2k****,1p4BH,"개보다 못한 윤석열의  만행을  규탄한다
.내란 수괴  윤석열",True,1,2024-12-09T18:55:37+0900,845092085705998587,10,2,0
cali****,4w78e,"윤모지리에게 임명장 받고 좋아했을 박선영씨,  자식들 보기 창피하지 않습니까 ?",True,1,2024-12-09T19:25:25+0900,845094005824815241,8,0,1
john****,3UlCy,한동훈  너가 참회해라! 너 때문에 나라꼴이  이모양이다!,True,1,2024-12-09T18:48:05+0900,845091600425025567,8,0,0
symo****,,,False,1,2024-12-09T18:12:17+0900,845089293977256032,0,0,0
joyc****,2K4ax,윤석열 이 자식이 아직 정신을 못차렸네 빨리 끌어내서 구속해라 뭣들 하냐?,True,1,2024-12-09T18:10:28+0900,845089176989728939,8,0,0
texh****,,,False,1,2024-12-09T18:10:45+0900,845089195578884400,0,0,1
kule****,,,False,1,2024-12-10T05:09:17+0900,845131620879958037,0,0,0
quie****,1dW29,"윤석열이 계엄 실패 직후 임명한 게 박선영입니다. 계엄 전 마련란 대비책이라고도 볼 수 있죠. 박선영이 헌법재판소 정형식의 처형이기 때문에, 직위를 주고 탄핵을 피하려는 뇌물로도 볼 수 있습니다.

박선영 이 인간 페이스북 보니까 처형을 제부 뇌물로 준다고 말 안되게 써놨던데, 처형에게 직위를 주는 게 제부에게 보내는 뇌물이 될 수 있다는 겁니다.",True,1,2024-12-09T23:27:19+0900,845109590801514597,7,0,1
star****,1wrjQ,"정형식 헌재 재판관과 처형관계에 있는 박선영의 임명을 철회하라..이 위급한 상황에 자신의 안위만을 생각해 미리 포석을 깔아 놓은 尹..게다가 다른 곳도 아닌 진실화해위원장이 말이 되는가..화해는 커녕 분란만 야기할,5.16 막은 국민이 있었나,독재는 왜했느냐가 중요하다며 5.16군사쿠데타의 옹호발언을 한 자.나아가 이번 계엄과 관련해 파렴치한 범죄자를 처리하지 못했기 때문에,국기를 문란하게 하는 자들이 판치는 대한민국 청소좀 하자라는 글을 올리기도..편협한 역사관으로 이승만과 백선엽을 옹호...尹이 서둘러서 임명한 이유가 분명한 자",True,1,2024-12-09T19:14:28+0900,845093300409991369,7,0,0
ikbe****,Jfil,"출국금지 정도의 범죄자가 임명수락이라니
이게 나라냐? 어떳 잣것들이 뽑은거? 이래서 무조건 구속시켜야해~~ 거짓말로 증거인멸 우려가 있으므로~~",True,1,2024-12-09T18:33:08+0900,845090637211500591,7,0,0
sym3****,2rprv,이런 분이 수장을 하셔야 하는데.. 참 내란 세력들이 대한민국을 망치고있다.,True,1,2024-12-09T18:14:44+0900,845089451850858772,7,0,0
jane****,,,False,1,2024-12-09T18:01:25+0900,845088594770002054,0,0,0
unpe****,2cUgAP,"윤은  예전부터 그렇게 인생을 살아왔다. 여기저기  학연, 지연, 혈연 이용해서  사건을 틀어막고  빠져 나가고..그런 식으로  하면 만사형통 할 것이라 믿고 살아온 인간이다.",True,1,2024-12-09T19:27:19+0900,845094128231383163,7,1,1
sman****,xHj8,난 한동훈보면 딱 알겠던데...윤석열 쳐내고 지가대권잡을려고 슬슬본색을드러내는거다..이건 온국민이알아야하고 차후라도 절대로 한동훈에게 표를주어선안된다..절대로..이놈의 속내는 시커멓고 간신이다 국민들이 옳고그름을 가려내고 분별하는능력이 젤중요한대..그러지못한 국민이 많다는것에 개탄스럽습니다.. 내용을정확히알고 민주주의개념과 원론 보수진보의논리를 제대로아는 국민이없는게문제다. 그저 당만보고 판단하고사람뽑으니 이런사단이나는거다. 민주주의는 보수와진보가 나뉘어 양립하며 견제와균형을 통해 입법업무를수행한다.,True,1,2024-12-09T19:03:31+0900,845092594709954747,7,1,0
clar****,1Ik6l,정상적인 A급은 C급 밑에서 일 못하는게 맞다~폐기처분해도 모자란 인간밑에 부역하고 있는것들 특히 작금의 장관들은 진짜 할많하않이다~🤮🤯🤬,True,1,2024-12-09T18:12:59+0900,845089339644838262,7,1,0
koko****,cDZCd,내란수괴범 윤석열의 직무정지는 탄핵 뿐이다. 내란수괴범이 아직도 인사임명권을 갖고 국정에 관여한다는게 맞나? 내란공범 국힘당대표 한동훈은 이번 일에도 책임져야 한다. 즉각 직무정지를 시키겠다는 것이 이런 것인가? 질서있는 퇴진을 말하면서 왜 탄핵을 방해하는가? 내란수괴범 윤석열이 언제까지 국정개입을 하면서 국가를 더 혼란에 빠뜨릴지 걱정이다. 경제는 더 망가지고 있다. 일개당대표가 내란공범 국무총리와 국정을 논의하고 운영한다는 것자체가 불법이며 위헌임에도 시간을 끄는 이유가 무엇인가? 용산에서 증거인멸의 시간을 갖는건 아닌가?,True,1,2024-12-10T02:41:07+0900,845122075952676873,6,0,0
sgyj****,2cle3,사표 내지 말고 장기 휴가로 바꾸세요.  완전 나쁜 대통령땜에 피보지 마시길.,True,1,2024-12-09T19:02:51+0900,845092552515256620,6,0,0
elli****,1Sk0K,"우와-
약력봐라. 위원장은 저 분이 하셔도 되겠다.",True,1,2024-12-09T18:26:54+0900,845090235799830825,6,0,0
