user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
nfpa****,5mQ6j,윤석열이 더러운 배신자 맞다. 김상욱 화이팅!!!,True,1,2024-12-20T10:59:40+0900,846081907727794459,79,11,5
holl****,2mq2t,그나마 용기있다...응원한다...기억해둔다...김상욱,True,1,2024-12-20T11:02:59+0900,846082120781660580,22,1,1
sds6****,,,False,1,2024-12-20T10:59:55+0900,846081923380937114,0,0,1
pice****,1qdSU,진짜 보수는 역시 시원시원하네 !! 응원한다,True,1,2024-12-20T11:05:52+0900,846082306941649296,10,0,0
judy****,3VEaM,김상욱 의원님 응원합니다 용감한 참 보수이십니다 이런 모습은 여.야를 떠나 다른 국회의원들도 배울 점이 있다고 생각합니드,True,1,2024-12-20T11:11:08+0900,846082646059515974,9,1,1
whba****,1ktuI,김상욱 적극 지지한다.  화이팅!,True,1,2024-12-20T11:02:50+0900,846082111755518304,7,1,0
nakh****,g3On,국힘의 당내 정치문화는 힘과 폭력을 숭배한다. 색출하고 위력을 가하고 처단하는 문화에 쩔은 자들에게 계엄은 정치행위의 일부라고 생각한다. 극우는 지금의 국힘과 다르다. 극우라도 법과 제도의 한계를 넘어서지 않는다. 그러나 국힘은 초법적 탈제도적 행위를 밥먹듯하는 자들이다. 국힘은 극우도 아니고 야만적 독재 사이비 신도집단이다. 김상욱은 보수가 되고자 한다면 새로운 길을 모색하는게 맞다.,True,1,2024-12-20T11:00:43+0900,846081975004430608,6,1,0
kbc7****,xBPd,"윤, 권성동, 나경원   뭐 이런 인간들은    변명도 추악하다!!  스토커들 연인 살인후에  해대는 변명만큼이나  저열하고 추악하다..",True,1,2024-12-20T11:09:23+0900,846082533517951154,5,0,1
dak_****,3oMNI,국힘은 보수가 아니지….. 극우도 아냐…. 그냥 보수의ㅜ탈을 쓰고…….숨어지내던 친일파 이다!!!! 국힘은 해체돼야함!!! 🤪🤪🤪🤪🤪🤪,True,1,2024-12-20T16:03:16+0900,846101466488766553,4,0,1
seun****,177Tv,혼자 제정신 지키고 있자니 힘들겠다.,True,1,2024-12-20T13:15:23+0900,846090651543011489,4,0,0
onda****,1azOX,김상욱을 배신자라고 손가락질 하는것들이 보수라니..ㅉㅉ 어디가서 윤석열 지지한다는 말도 못하는것들이..,True,1,2024-12-20T13:21:47+0900,846091063021011245,4,1,0
skin****,2017O,힘내라. 걍 보수신당  차려라 젊고 소신있는 당원들 추려서.,True,1,2024-12-20T21:58:19+0900,846124340880605277,3,0,0
iris****,,,False,1,2024-12-20T12:54:31+0900,846089306480050369,0,0,0
eick****,49H3A,"극우는 보수가 아니다. 보수의 탈을쓰고 기생하는 암덩어리. 근데 안타깝게도 극우가 보수의 주류를 이루고있다. 보수의 성공은 극우를 제거할 수 있는지에 달렸다. 이런시도는 매번 실패했고 그때마다 배신자프레임으로 포장뎃다. 보수안에서 이렇게 대놓고 극우라는 단어를 사용해 변화를 시도한건 처음이다. 시간이 걸리겠지만 옳은방향으로 출발했다. 극우와 극좌가 점점 줄어들고, 합리적인 보수와진보가 늘어날때 국민들이 더 살기좋아진다.  이 말이 불편하면 극우다ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ",True,1,2024-12-20T11:39:21+0900,846084464625844368,3,0,1
dbfl****,17oW8,이 나라에서  극우세력  몰아내자. 김상욱 잘하고 있다,True,1,2024-12-20T11:10:35+0900,846082610978357505,3,0,0
kinb****,3B56u,한동훈이 이런넘 국개 만들어준거에서 국짐과 안맞음   문빠라인,True,1,2024-12-20T12:03:52+0900,846086043210875193,4,2,0
j2so****,,,False,1,2024-12-20T11:02:19+0900,846082078704402566,0,0,0
yund****,,,False,1,2024-12-20T18:52:18+0900,846112357183651936,0,0,0
estr****,250zN,👍🏻 김상욱 의원 그대가 있어 다행이고 행복했던 한해였습니다 👍,True,1,2024-12-20T18:00:00+0900,846108987010056197,2,0,0
5war****,1wvNc,색출하면 나머지 것들은 내란공범되는 거지. 뭐. 스스로 죽을 길만 찾는 무당의힘.,True,1,2024-12-20T16:04:17+0900,846101532423225448,2,0,0
choi****,2QJ9a,"이게 보수지

국짐은 매국 극우",True,1,2024-12-20T14:39:32+0900,846096072580268224,2,0,0
dudn****,,,False,1,2024-12-20T14:21:27+0900,846094907117404360,0,0,0
daec****,68mpr,극우라는 말 함부로 쓰지마라. 진정한 우익은 국익을 최우선으로 한다. 그런데 국짐이 하는 꼬락서니를 한번 봐라. 국민위 삶과 국익은 뒷전이고 항상 지들 밥그릇 챙기기에 혈안이 되어있지 않냐.,True,1,2024-12-20T11:13:40+0900,846082809687703808,2,0,0
pass****,8CTZc,썩어빠진 국힘 중진들은 썩게 냅두고 젊고 깨어있는 보수가 새롭게 시작하길!,True,1,2024-12-20T11:10:22+0900,846082596516397216,2,0,0
void****,1Cw3X,김상욱 니가 생각하는 보수는 우리나라에 없어! 파렴치에 치졸함으로 중무장한 수구꼴통들만 득실대는게 대한민국 보수의 현실임!,True,1,2024-12-20T11:08:48+0900,846082496289309023,2,0,0
raea****,4dYJx,유일한 진짜보수이자..진짜국회의원..!!,True,1,2024-12-20T11:08:26+0900,846082472817983691,2,0,0
