user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
swfe****,2pIHt,"공소시효없으니 댓글 유튜브 캡처해서 신고해서 처벌해야 합니다 
신고는 민주당신고센터로..
신고방법 간단합니다
교회예배에서 내란옹호 동조하는 목사발언도 녹취해서 증거로 제출하면 됩니다
전광훈부대 뉴라이트목사들 박멸만이 대한민국 살린다",True,1,2024-12-30T11:58:12+0900,847013391779233879,217,30,11
hero****,2yaAZ,와.. 기가막힌디. 국힘은 이번에 같이 없어져야할 국가의 억이다,True,1,2024-12-30T11:33:14+0900,847011783196541032,74,16,5
wint****,IW5w,시의원은 정치현수막을 내걸 수 없는데 어떻게 내걸었지??,True,1,2024-12-30T11:45:46+0900,847012590180630828,51,3,0
dvej****,5be1c,이번 내란에 절대 관용을 베풀면 안된다.  댓글부대도 현수막도 화환도 내란옹호시위도 싹 다 처벌해야됩니다!,True,1,2024-12-30T13:58:38+0900,847021150167892192,45,1,6
utw2****,1ICXy,전국에있는  탄핵반대현수막을 고발하라,True,1,2024-12-30T13:36:21+0900,847019714960949373,29,3,3
kumo****,,,False,1,2024-12-30T13:34:00+0900,847019562992926723,0,0,4
ob05****,JjNX,그놈의 고도의 통치행위ㅋㅋ 어디서 주워들은건 있어가지고ㅉㅉ 위헌을 저지른 대통을 탄핵안하면 앞으로도 계속 계엄을 선포해 군대동원해 독재국가처럼 통치하겠단거냐? 누가 너희들에게 그럴 권리를 줬단말이냐!!! 경상도 노인네들 선동했으니 내란선동죄로 무거운 처벌을 받아야할것이다!!!,True,1,2024-12-30T13:47:25+0900,847020427858411684,12,0,3
cjs1****,3cxQl,"내란외환범죄는 위헌범죄임. 내란을 옹호하는 개인과 집단. 댓글 캡처, 유튜버 신고해서 처벌해야함. 공소시한도 없음. 여야정파의 문제가 아님. 내생명 내가족 내국가 공동체를 파멸하는 세력에 대한 조치임.",True,1,2024-12-30T13:39:55+0900,847019944305492333,10,0,1
dong****,5g5rf,"살다보니 별놈 다보네 
울산시의원수준이하다",True,1,2024-12-30T14:03:38+0900,847021472592429308,10,1,0
namu****,y5IM,내란공범이 저기도 있었네. 내란수괴 감옥가면 따라 들어갈 건가? 그 정도 충성심은 있어야지?,True,1,2024-12-30T14:50:05+0900,847024465060560933,9,0,0
