user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
simo****,34NGY,보수가 좋아하는 물대포를 쏴주면 됨,True,1,2025-01-01T21:01:16+0900,847233920566034537,39,7,4
west****,1Kkzk,나라를 손톱만큼이라도 생각하는 인간이라면 끝까지 이렇게 비굴하고 치사하게 굴지는 않을진대 이런 저질스러운 인간이 한때 우리나라의 대통령이었다는 트라우마를 지고 갈 젊은 세대들에게 많이 미안합니다.,True,1,2025-01-01T23:59:18+0900,847245390460747877,31,9,3
pwph****,6bgDn,정신나간 인간이 자국민을 두 편으로 나뉘어 싸우게 하는 이 상황이 대체 무엇인가. 그리고 내란수괴를 지키기 위해 물리적 대치도 마다하지 않는 경호원들은 어느편을 들어야 하는가. 아무리 대통령이라 해도 저런 정신나간 인간을 지키는게 말이 되는것인가. 나라를 어떻게 이지경으로 만들수가 있는가. 부부와 가담자  모두다 감옥으로 반드시 보내야 한다.,True,1,2025-01-02T00:10:20+0900,847246100992622701,19,7,2
leek****,4v7vT,내란수괴를 보호해준다는 것이 말이 되냐~~느덜 경호팀들 월급은 누가주냐? 뻘짓하다 감옥가지 말고 모지리 윤도리 내보내라,True,1,2025-01-02T00:07:54+0900,847245944226316567,13,6,1
gnlo****,GzJK,법말고 상식적으로 생각해봐라 국민을 위해 일하라고 뽑은 놈이 국민에게 총부리를 겨눴는데 당연히 감방가야지 뭘 잘했다고 결사항쟁이야 ? 감방가는 거지  여럿 괴롭히지 말고 니발로 나와서 빨리 들어가라 피곤하다,True,1,2025-01-02T07:20:36+0900,847273820745105492,10,4,0
jbs4****,1fsjX,헌법이 법률이  내란이라 규정하는데 우두머리를 계속 추종하고  비호하고  준동한다면 시위자가를 넘어  내란세력이다 ! 분명하건 계엄을통해 국민앞에 총을겨눈 자는 역적이며  내란  ! 이유여하를 망논하고 모두 일망타진해야할 역적들 ! 전국민이 지켜보고있다 ㅡ 공수처가 법을집행하는데있어 내란세력이 준동하여 공무집행을 막는다면 내일부터라도 관저로 향할것 !,True,1,2025-01-02T00:40:39+0900,847248054447767685,7,2,2
yuga****,64TPG,윤아.더이상엄한사람들범죄자만들지마라.....,True,1,2025-01-01T20:40:16+0900,847232568070766668,9,5,0
2525****,cmsoR,"윤석녈 체포되는날, 일당받는 서울역 노숙자들과 노인정 알바들이 길틀막한다면? 과연 젼광훈 그 노숙자 대장은 현장에 나타날까? 현장에서 노숙자 대장으로 진두지휘하다가 경찰들에게 잡혀가 감옥으로 내팽겨졌슴 싶다ㅡ젼광훈 취향저격 천국은 감옥에 있을껀데?!",True,1,2025-01-02T00:52:54+0900,847248843949998264,6,2,0
tlsw****,3YdpI,윤석열 진짜  정신병원 가야함 제정신이 아님,True,1,2025-01-02T06:24:19+0900,847270195406831635,5,1,0
rheh****,,,False,1,2025-01-02T06:38:29+0900,847271108020273187,0,0,2
akh0****,kyPI,기동대가 공수처 불법 행위에 가담 해서는 안된다,True,1,2025-01-01T20:41:45+0900,847232663080141031,5,2,0
swee****,1qGAG,"아무리 세뇌가 되더라도 제정신 한가닥은 잡고 계셔야지들
이보세요들 순리대로 합시다",True,1,2025-01-02T00:11:04+0900,847246148807688213,4,1,0
cha5****,8mP2z,국민들이 죽기살기로 막을거다,True,1,2025-01-01T20:01:09+0900,847230047445057586,4,2,0
mind****,66R3E,내란수괴를  뭣한다고  지켜주는거야?  할일이  그리없니?,True,1,2025-01-02T00:41:15+0900,847248092884369463,6,5,1
y854****,OJFY,"국민에게 총 쏘라고 한  넘이다.
밀고 들어가서 머리채잡고  끌고 나오면 된다.",True,1,2025-01-01T23:17:24+0900,847242691610673302,6,5,0
lghb****,37QFF,공수처가 무슨권한이있다고 체포하냐 공수처도 불법인디?ㅋㅋㅋㅋㅋㅋㅋㅋㅋ역시 극좌 ㅃㄱㅇ 언론답게도 썼다,True,1,2025-01-02T08:28:38+0900,847278203708899476,5,4,0
koo3****,ozQf,"공수처가 내란죄 수사 권한이 없고 영장 청구권한이 없고 관할 법원도 중앙지법인 데, 헌법재판관들 추천한 서부지법에서 발부된  영장이 합법적인 가? 그렇지 않으면 집행할 권한이 있는 가? 그런 영장이 효력을 발휘할 수 있나? 누구에게 길을 비켜라고 할수 있다는 겐가? 대한민국은 자유민주주의 법치국가이다. 잡범 범죄자 이재명과 더불어범죄당의 공산전체주의 인민민주주의화에 동조하는 게 애국인 가? 헌재 탄핵 인용, 기각에 따라 달라질 수사권을 왜 선집행하려고 🐕ZR인 가? 기각되어 직무 복귀하면 반란 반역죄로 처단될 대상 아닌 가?ㅠㅎ",True,1,2025-01-02T00:18:17+0900,847246613402353732,4,3,2
kmil****,Qh27,"경호처저놈들은 불법 내란세력임,500명 싹다잡아들여",True,1,2025-01-02T00:10:01+0900,847246080591527947,4,3,1
chan****,90lXb,극우유튜버들과 시위자들부터 싹다 정리해라 그들은 개딸 개양들과 항께 인간도 아닌 짐승보다 못한 대한민국의 암적 존재들이다,True,1,2025-01-02T00:31:04+0900,847247437381763091,3,2,0
kkc1****,eMvTI,60대 애덜이 저기서 창피하게 윤가 만세를 외치니... 부끄럽다..,True,1,2025-01-02T02:58:21+0900,847256925383950364,2,1,0
js83****,2aUgp,뮌 개소리 경호처 꼭 법대로 경호 하여주세요^^,True,1,2025-01-02T00:25:15+0900,847247062528426041,2,1,0
free****,,,False,1,2025-01-01T19:57:47+0900,847229831371292906,0,0,0
hyw6****,,,False,1,2025-01-01T19:52:01+0900,847229459655294986,0,0,0
knig****,7nc5f,"현직 대통령 체포하러 오거든  3회 경고후  경호규칙대로
 쏴버려라",True,1,2025-01-01T20:11:53+0900,847230739001901341,7,7,2
hspc****,,,False,1,2025-01-02T00:11:37+0900,847246184459272361,0,0,0
elli****,2j3N6,여러 건으로 기소되고 특히 대북경제제재를 위반해 북한에 송금한 재명이와 민주당은 기소됐으나 몇년 동안 법원이 썩어 판결도 미루고 이게 나라냐? 이러니 윤석열이 민주적 계엄을 통해 나라를 바로 잡으려 하는데 데려 이재명과 민주당은 내란죄 운운하며 겁박하고 있으니 바로 이재명과 민주당이 대한민국을 망하게하는 반국가세력이자 내란선동 및 내란범들이다. 이번에 부정선거 및 대북제재 위반 등 민감한 사항들을 이재명과 민주당이 범죄를 저질렀으므로 미국도 그냥 좌시하지 않을 것이다. 민주당 지지하는 인간들 잘 생각해 봐라 좌파 탈출은 지능순이다,True,1,2025-01-02T00:37:51+0900,847247874512126130,5,5,1
miya****,4vK7g,내란수괴 윤거니 사형시켜라 사형이답이다,True,1,2025-01-01T19:47:52+0900,847229191588937993,4,4,1
dbgu****,3AO65,경호처가 방해하면 모두 체포 구속해서 5년이상 죄를 물어야 함,True,1,2025-01-01T19:47:19+0900,847229156340006993,4,4,1
pjyo****,3uUAH,진실은 막을 수 없다. 이 xx 이게 민주주의 공화국이냐 니들 하는짓 봐라 유튜버들도 내란죄 싹다 내란죄 이게 자유주의민주공화국이냐. 이재명 사기꾼 이라고 말하는게 죄냐?? 선택적 자유민주주의는 이세상에있어선 안된다,True,1,2025-01-02T09:12:07+0900,847281005604634679,2,2,0
yeon****,,,False,1,2025-01-02T00:09:07+0900,847246022659801128,0,0,0
kan1****,1RzVN,체포를 막으면 공범이다.,True,1,2025-01-01T23:58:50+0900,847245360832184558,2,2,0
sddk****,,,False,1,2025-01-01T20:56:26+0900,847233609348677780,0,0,0
stef****,1wJYR,내란죄는 경찰이 나서야 하는데 왜 공수처가 날뜀?,True,1,2025-01-01T20:26:31+0900,847231682602860679,2,2,0
jk82****,,,False,1,2025-01-02T10:52:08+0900,847287449095766081,0,0,0
zxc7****,66qUp,이들은목숨걸고 대통령 지킨다,True,1,2025-01-02T06:17:15+0900,847269739519541262,1,1,0
taew****,,,False,1,2025-01-02T00:39:37+0900,847247988345536648,0,0,0
sama****,,,False,1,2025-01-02T00:19:13+0900,847246674152652858,0,0,0
qwer****,bfCs1,그러지말고  헬기 띠위서  체포하자,True,1,2025-01-02T00:03:11+0900,847245640793587759,1,1,0
jae2****,1zfR0,대가리 없는 2찍이들은 내란 수괴 윤석열이랑 같이 정신병원에다 죄다 보내야해,True,1,2025-01-01T23:58:01+0900,847245307681964038,1,1,0
tlse****,waSy,기동대가 윤 경호 위해 가하면 무기사용 할수도,True,1,2025-01-01T20:50:15+0900,847233210822688855,1,1,0
lsy9****,4PVh5,이재명  ㆍ 윤석열 둘다  흙탕물에  거기서 거기다  둘이 없어져야 나라가 조용하다  어차피  윤석열 가도 이재명은 안된다,True,1,2025-01-03T03:27:59+0900,847351606008610875,0,0,0
come****,3Entf,이 영장을 집행할 때에는 미란다 원칙을 배제한다. 이 판결에서는 죄형법정주의 원칙을 배제한다. 이 판결에서는 일사부재리의 원칙을 배제한다.  원님 재판으로 모두 가능하네요. 옥씨부인전 현감도 이런 영장은 안 내겠다.,True,1,2025-01-02T18:28:52+0900,847316873899933999,0,0,0
coti****,2JnYH,한걸레 언제까지이렇게살래,True,1,2025-01-02T18:03:17+0900,847315225991446625,0,0,0
snow****,,,False,1,2025-01-02T11:46:10+0900,847290930401640535,0,0,2
sejo****,AXeB,일개 팜사가 일개 검사 보아다낫지...,True,1,2025-01-02T10:34:01+0900,847286281502195720,0,0,0
cool****,,,False,1,2025-01-02T09:46:52+0900,847283244104679706,0,0,0
ksyy****,,,False,1,2025-01-02T09:40:30+0900,847282834639945883,0,0,0
rudt****,18qTl,불법ㅋㅋㅋㅋ,True,1,2025-01-02T09:23:17+0900,847281724491563101,0,0,0
nice****,,,False,1,2025-01-02T08:19:15+0900,847277600047890491,0,0,0
inje****,2oj3a,뉴라이트 정부 관료들이 한국을 일본화하고 있다.,True,1,2025-01-02T08:05:36+0900,847276720032579711,0,0,0
jmk2****,2jvid,과연..,True,1,2025-01-02T03:17:48+0900,847258179111747650,0,0,0
kopi****,,,False,1,2025-01-02T03:06:05+0900,847257424472571915,0,0,0
ft******,,,False,1,2025-01-02T00:29:52+0900,847247359703253216,0,0,0
rokm****,ey3vr,가즈아~~~당신이 좋아하는 법대로,True,1,2025-01-02T00:29:28+0900,847247334587760757,0,0,0
