user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
gsgw****,5A2Bn,이진숙 기각결정에 심히 유감을 표합니다.ㅡ,True,1,2025-01-23T12:39:43+0900,849242577348591947,162,21,5
mook****,2joe2,"이런애들만 골라서 방통위, 독립기념관 등등등에 고용하는데 탄핵 안하는게 이상한거 아닌가?",True,1,2025-01-23T12:47:10+0900,849243057327964229,84,5,4
jj18****,6pMpv,이게 얼굴이야 정말 구역질 나게 생겼다,True,1,2025-01-23T12:37:30+0900,849242434759033041,51,4,6
trap****,1r2pV,그럼 앞으로 윤석열이  탄핵인용되어도  탄핵결정존중 하겠네??,True,1,2025-01-23T12:10:38+0900,849240703182569769,38,4,2
ebi1****,b5lz9,"어떠케 기각. 비상식적, 비정상자들이 중요요직에  있는것을 계속 지켜보아야  하는지 고통스럽다.",True,1,2025-01-23T13:06:14+0900,849244285856383083,34,3,0
scs7****,2E3V3,저 마귀할멈이 이 쓴 법카를 검찰이 혜경이 짓대로 수사 한다면 1년365일 압색하고 기소 해아 이치에 맞고 죄를 따진다면 사형도 부족해 삼대를 멸해야 한다.그래야 공정이고 상식이고 형평성이지.,True,1,2025-01-23T12:52:32+0900,849243402401743083,19,3,0
muse****,2poMk,저여자가 말하는걸 한번이라도 본 사람들은 왜탄핵되어야 하는지 알거다 헌잭의 결정은 존중하지만 나라가 점점 이상해져 간다,True,1,2025-01-23T13:04:19+0900,849244162426405018,17,3,0
nand****,89WGp,한달쯤후엔 석렬이 탄핵되고 정권바뀌면 모든게 제자리를 찾기를 바란다,True,1,2025-01-23T14:24:36+0900,849249334741434628,16,4,0
minj****,t0cz,현제가 비정상 아닌가.    날치기를 정당화 했으니,True,1,2025-01-23T12:42:44+0900,849242771913965860,11,0,0
myfr****,,,False,1,2025-01-23T13:08:53+0900,849244455792804206,0,0,0
pass****,1A9Gf,MBC 장악시도 흉내만 내봐라. 다시 탄핵이다,True,1,2025-01-23T13:34:50+0900,849246127961145696,11,3,1
ryuh****,,,False,1,2025-01-23T13:11:51+0900,849244647875150198,0,0,0
jeel****,,,False,1,2025-01-23T16:35:11+0900,849257747072417863,0,0,0
wkdg****,1ZRn7,저여자는 정상아니던데..진짜..,True,1,2025-01-23T12:45:49+0900,849242969750896971,8,1,0
ryeo****,3Q74K,몰라서 물어보는건데 원래 대통령실이 정치하는 곳인가요??? 2024년 정치에 관심을 갖게된 정치린으로써 정말 궁금해 물어봐요.. 대통령실이 뭐하는 곳인지,True,1,2025-01-23T13:28:11+0900,849245699538157664,7,0,1
lbbl****,,,False,1,2025-01-23T12:05:22+0900,849240363829821611,0,0,1
clas****,26UgL,주인이 왜 없어...공동수괴 김건희가 사실상 대통령인데,True,1,2025-01-23T12:06:46+0900,849240454661669190,8,3,0
taeb****,33KHO,법카로 몇백씩 빵 사먹어도 되네 ㅋㅋ 좋은세상이다.,True,1,2025-01-23T13:30:01+0900,849245818236960785,7,2,0
admi****,2gfKw,이대로 끝이냐? 청문회때 나왔던 이진숙 불법행위들은 수사않하는거냐?,True,1,2025-01-23T14:03:58+0900,849248005449056717,6,1,0
