user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
zzaz****,3aTb9,입만 열면 구질구질한 변명으로 일관하는 격떨어지는 저런걸 도대체 지지하는 인간들은 뭐하는 사람들임,True,1,2025-02-05T09:49:36+0900,850437644717392119,29,0,0
redo****,32BWy,개.만도 못한놈 이란말이 개한테 미안할 정도.,True,1,2025-02-05T09:51:13+0900,850437748987789394,13,0,0
zuna****,2cVsKH,"날리면, 요원, 이젠 간첩 ᆢ저게 미치지 않고서야 지도자란 자가 저렇게 국민을 개돼지 취급할 수 있겠는가 ?",True,1,2025-02-05T09:56:45+0900,850438105369411888,9,1,0
dong****,13mwM,역대 대통령  명단세서 저 인간만큼은 정말 삭제하고  싶다,True,1,2025-02-05T09:55:49+0900,850438044904325457,7,0,0
jiyu****,2AT2g,머리 진짜 나쁜 윤석열. 고시 9수도 진짜 천운 이었나보다.,True,1,2025-02-05T09:54:38+0900,850437968484106495,6,0,0
hw05****,27zCh,이렇데 진실을 외곡하는 언론들도 미친것같다 ㅋㅋ 홍장원 구라인거 다 나왔는데도 이런 기사를 쓴건 다 한통속인거지 ㅋㅌㅌ 대단한 언론들이다 정말,True,1,2025-02-05T15:04:54+0900,850457956909580641,6,1,0
tark****,27MVk,계엄을터트려놓고진행중인시간에 느닷없는간첩? 소가웃을일이다 암튼 날리면으로 시작된 이인간에 뻔스러움은 극치를달린다 저런게 대통령이라니 쪽팔려서  ....,True,1,2025-02-05T10:09:46+0900,850438944045662533,5,0,0
kjh9****,,,False,1,2025-02-05T09:53:50+0900,850437916608954730,0,0,0
yaun****,,,False,1,2025-02-05T09:52:33+0900,850437834618699994,0,0,0
lswo****,2HWMJ,긍데 징짜 궁그매서 그러는데 김병주는 어캐 별을 달았나요? 안보의식이 북한을 옹호하는 발언만 하던데?,True,1,2025-02-06T00:12:18+0900,850493223808794704,4,0,0
tlsd****,,,False,1,2025-02-05T16:52:28+0900,850464887594287298,0,0,0
leeb****,5veF0,"정말, 저렇게 행동하니 국격이 엉망인데도 만약 풀어준다면 나라가 망하게 생겼다!!!",True,1,2025-02-05T11:42:35+0900,850444923143454987,4,0,0
b369****,,,False,1,2025-02-05T09:56:10+0900,850438067318685761,0,0,0
itod****,2J7Ou,대통령을 떠나서 공직자로서도 하면 부끄러운 거짓말을 입만 벌리면 함. 바이든 날리면 이라니 개가 웃을일,True,1,2025-02-05T09:57:59+0900,850438184239104383,4,1,0
need****,2MKbh,ㅎㅎ검거요청이든 검거지원요청이든 싹다 잡아 들이라는 내란수괴의 검거지시 자체 위헌성 따져야 할 정형식재판관이 지원단어 하나에만 집중 물고 늘어지며 검거란 핵심 단어를 교묘히 물타기 하는 심문 아주아주 잘 지켜 보았다.!!!!! 탄핵직전 윤수괴가 왜 그토록 국민적 비난을 감수하면서 자기가 임명한 정형식재판관의 처형을 진실화해의원장에 뇌물성임명 강행했는지 아주아주 퍼즐이 절묘하게 맞아 떨어지는 듯한 느낌적 느낌!!!!!!!,True,1,2025-02-05T09:54:43+0900,850437974205137189,4,1,1
luck****,,,False,1,2025-02-06T14:20:42+0900,850547881193505063,0,0,0
pens****,2BIi0,간첩?!ㅋ...끝.,True,1,2025-02-05T09:50:04+0900,850437674496950304,3,0,0
