user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
qwer****,e0asN,대한민국에는 인간다운 인간이 하나도 없다 특히 국짐당들이 사람다운 사람이 없어 잘못했으면 인정하고 사과하고 용서를 빌어야지. 조지호는 잘못을 뉘우치고 사과하고. 다 불어 될 것 같긴 하다.,True,1,2025-02-19T19:37:26+0900,851774313131409553,51,9,3
kwan****,4ad45,조지호 당신은 변호인 대동하여 검찰에서 최초 증언했던 그대로 사실대로 양심에 맞게 헌재에서 증언하는 것이 마지막으로 국가와 국민에게 국가공무원으로서 하는 예의와 봉사다. 악랄한 내란수괴는 당신에게 관용 없이 구인까지해서 출석을 요구한 자다 더 이상 쫄릴게 뭐가 있나...,True,1,2025-02-19T19:45:05+0900,851774806180233250,38,2,0
rbsc****,2JKXU,"조지호 종지부를 찍어라. 이미 증거는 차고 넘치고 가증스런 윤석열의 파면을 사필귀정이다. 헌재의 헌신적인 노고에 감사드린다. 그럼에도 윤가를 옿호하면서 헌재를 공격하는 국힘은 국민들로부터 천벌을 받을 것이다. 윤상현, 권성동, 권영세, 나경원, 김민전, 김기현 등의 파렴치한 내란 선동과 법치를 공격하는 망국행위에 대해 대한민국 국민은 기억할 것이다.",True,1,2025-02-19T19:45:57+0900,851774861746372946,23,1,0
yjba****,4Qicy,그렇게 천인공노할 큰일을 저지르고도 기각되기를 바라고 있는 자들이야말로 생각없는 짐승과 다를바가 없다 당연히 응당한 죄값을 치러야  마땅한것 아니겠냐 아니면 반대로 국민이 생각없는 짐승이 되는것이다,True,1,2025-02-19T20:42:15+0900,851778488997249116,15,1,0
ayhy****,,,False,1,2025-02-19T20:22:54+0900,851777242936639769,0,0,0
six3****,bbzUf,"윤석열과 엮여서 지금 무사한 인간이 1명도 없네~
국짐당은 이미 뽀개버렸고 경찰인사 군인사 국무위원 공천으로 엮인 정치인들 극우유튜버 등등 싹 입건되서
감옥살이네~ 진짜 악의근원이다. 주위 사람들을 싹 파괴시키고 본인 혼자 살려고 발버둥 치는 꼴이 우습다.
김건희는 다음 순서다.",True,1,2025-02-19T21:39:16+0900,851782162100256859,12,0,0
ddun****,3IxOA,"제발 사실대로만 증언해주세요. 그리고 본인도 대통령의 지시를 따랐다고 주장하세요. 물론 그게 부당하다, 이상하다고는 생각했지만 대통령이 직접 지시하는거라 거부하거나할 수가 없었다로 하시면 되는겁니다.",True,1,2025-02-19T21:20:57+0900,851780982057992512,10,0,1
bong****,JAUK,"조지호 경찰청장 ! 먼저 쾌유를 기원하외다. 그리고 정의롭게 살아갑시다. 솔직히, 사실대로 증언하시구려 . 윤석열 대통령님은 대역죄인이라고 ~",True,1,2025-02-19T20:42:10+0900,851778484215742534,10,1,0
th11****,gfMT,어짜피 큰병 걸렸는데 이판사판이지 눈치 볼것없이 모두 사실대로 증언해라 그래야 산다,True,1,2025-02-19T20:54:55+0900,851779305594683714,8,0,0
sooc****,6QX0U,더도말고 덜도 말고 진실만 말하고 속죄 하시길,True,1,2025-02-19T20:53:28+0900,851779211793268907,7,1,0
jjr1****,3iT08,사람은  젊어 고생하고 무릇 말년복이 있어야하는디ᆢ어쩌다 윤석열 만나서 명예잃고ᆢ건강잃고 ᆢᆢ안스러워요ᆢ자실을 말씀하시고 양심이라도 챙기시길ᆢ,True,1,2025-02-19T21:25:22+0900,851781266515689591,6,0,0
maid****,24Da5,이미 증거는 넘쳐난다. 빨리선고하고 일상으로 돌아가자. 경기가 말이 아니다. 윤두창의 개소리도 신물나고,True,1,2025-02-19T22:01:36+0900,851783601669275891,6,1,0
dbtj****,3rmUL,무조건 열외1마리없이 다잡아들이고 법테러범죄자로 구속수감하고 엄중처단해라.사이비목사놈 사주를 받은 극우내란 옹호범들이다,True,1,2025-02-19T21:21:57+0900,851781047153590575,6,1,0
sogn****,5daxu,국민은 헌재를 보호하고    헌재는 범인 룬성녀리 한테 공정과 상식으로 사형을 판결하여 나라를 보호해야 한다,True,1,2025-02-19T20:26:17+0900,851777460251918415,6,1,0
bigs****,2A5e5,이상민이 무슨짓 했는지도 다 까발려라~,True,1,2025-02-19T21:09:23+0900,851780237166379170,5,0,1
ksmh****,2obY0,출석결심에 응원합니다. 힘내세요.,True,1,2025-02-19T19:51:12+0900,851775200193151044,5,0,0
sten****,,,False,1,2025-02-19T19:44:18+0900,851774755630481515,0,0,0
jsc3****,5hznY,청장님 진실을 말하시고 양심껏 말하시고 부디 수괴와 같이 오물통에 빠지시는 일이 없으시길,True,1,2025-02-19T22:12:16+0900,851784288511721568,5,1,0
jull****,im05,"하야해도 법적 책임져야디 사형 잘가라 역사책에 기록될것이다
대한민국 발전과 미래를 위해 다시는 보수가 정권잡으면 안되것다 역사가 퇴보하고 전쟁놀이나 하고 자빠졌네^^",True,1,2025-02-19T21:09:12+0900,851780225590100038,4,0,0
lssn****,Cm7Y,검찰 조서대로 사실만 말하면 빨리 끝난다.,True,1,2025-02-19T20:53:14+0900,851779196559556691,4,0,0
ilkw****,40n0v,모른다고하면 웃기겠다. 곽종근처럼하길,True,1,2025-02-19T20:51:30+0900,851779084840075432,4,0,0
limh****,1fugP,"조지호형님 나라좀 그만 조지고, 많이 아프다 들었는데 죽기전에 죄값을 치를수 있는 방법은 오직 진실만을 말하는 겁니다.",True,1,2025-02-19T20:33:20+0900,851777914964803709,4,0,0
hwa8****,255g8,"마지막에라도  사나 같이  못하나 윤 
정말  역사속에  당신의  모습  부끄럽지 않소",True,1,2025-02-19T20:12:34+0900,851776576394625195,3,0,0
inoh****,66UBQ,"조지호, 마지막으로 윤석열이에게 카운터 펀치 한방 날려라.., 이제 윤석열이는 형사재판에서 사형까지 가야한다.., 더이상 윤석열이 거짓말에 속을 국민은 없다..., 그동안 내란음모에 동조하여 공범이된 국민의힘 국회의원들과 개신교, 사랑죄인교회는 그동안 국민의힘 국회의원들에게 90도 인사받고 권력의 맛을 좀 봤지...ㅋㅋㅋ ㅋㅋㅋ",True,1,2025-02-19T19:57:01+0900,851775574845161484,3,0,0
yhsc****,3kGS3,조지호는 양심껏 아는 걸 모두 다 털어놓으면 좋겠다. 윤석렬에 대한 조지호의 개인적 응징을 할 수 있는 기회이기도 하다. 증언할 때 사심 가득 담아 윤석렬을 혼내주면 좋겠다!!!  훗날 역사에 길이 남을 겁니다. 쾌차하시길 바랍니다.,True,1,2025-02-19T21:00:55+0900,851779691655201068,4,2,0
ljh1****,3w9CB,내란수괴가 다시 살아날거라 보고 내란수괴에게 유리하게 처음 진술을 번복한 어리석은 놈 김현태 (이런놈이 우째 지휘관 했노 ㅉㅉ)그 반면에 경찰들은 살려고 발빠르게 행동 하더군 경찰출신 경호처장 박종준 내일 출석할  조지호도 마찬가지 있는그대로 진술 할것으로 보인다.,True,1,2025-02-19T21:48:27+0900,851782753983660172,3,1,0
gold****,3bthc,"모질이 윤똥은 당신이 알아서 국회장악하려했다는데
어떡할래?..모자라도 너무 모자란것을 믿고 이제와서 팽당하네..",True,1,2025-02-19T20:12:38+0900,851776580958027969,3,1,0
sacc****,25Fan,증언들이 오염? 당연히 오염되지.. 조지호도 다른결로 얘기 할수 있을걸...나도 어제 한말 오늘 똑같이 못하는데...오염된 증언들 배제하고 계엄 프로세스 포고령으로만 탄핵 결정하자..오염됬다고 하는 증언들은 형사재판에서 가리고,True,1,2025-02-19T22:09:07+0900,851784085339635755,2,0,0
nepe****,,,False,1,2025-02-19T21:16:02+0900,851780665438371856,0,0,0
oma4****,a49t,제발 내란 수구 꼴통 친일 극우 국짐당 변호인단에 휘둘리지 말고 검사 조소 대로만 진술 하세요..,True,1,2025-02-19T19:39:42+0900,851774459613282555,2,0,0
mkah****,dNOhh,윤석렬이는  대한민국을 악의 구렁텅이로 밀어 넣으려했다 ᆢ다만 출동한 군인들은  시민들의 항의에   도덕적으로 행동했고 ᆢ그게 후진국  병사들과 대한민국 군인의다른 점이다ᆢ군에 감사한다ᆢ내란은  내란이고  개석렬은 내란수괴다 ᆢ군을 또 악의 구렁텅이에  넣어 이용하려했던 개석렬은 반듯이사형시켜야 한다,True,1,2025-02-20T00:09:55+0900,851791867518386387,2,1,0
leek****,4v7vT,내란공범들은 윤석렬이 돌아올것이라 생각하겠지만 절대 그럴일이 없으니 진실을 밝히고 선처를 바라는것이 너희들이 국민께 속죄하는 길이다,True,1,2025-02-19T19:47:08+0900,851774938703462448,2,1,0
xpar****,2aovY,아니 윤대통령이 계엄으로 국개의원들 처잡아넣어야 되는게 맞는거 같은데~법도 법같지도 않은걸 자꾸 발의하고~누가 저런걸 국개의원이라고 뽑았냐? 저거 뽑은것들  이빨 싹다 뽑아라~,True,1,2025-02-20T12:18:14+0900,851838789683773527,1,0,0
kwka****,,,False,1,2025-02-20T04:37:56+0900,851809134796865589,0,0,0
