user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
lon2****,UVd4,"내 주변엔 아무도 없는데 대체 저런 조사결과는 어디서 나오는걸까? 
국회의원, 법원, 선관위 전부 간첩들이 장악하니 나라가 망하려는가 보다.",True,1,2025-03-07T14:14:27+0900,853237846457188597,63,7,0
cell****,1ioFu,거짓 기사 쓰네.,True,1,2025-03-07T15:24:00+0900,853242326661726216,32,1,0
haan****,gKCV,어제 권영세가 영남만으로 나라 만들고 싶다던데 이참에 분리 독립 시켜 주자.,True,1,2025-03-07T11:34:44+0900,853227555983982907,27,3,0
supe****,2ieXv,찢가 구속 찬성 95퍼센트,True,1,2025-03-07T13:05:31+0900,853233405444227252,19,1,0
medi****,bN3v2,아직도 여론조사 기관 믿는 바보도 있나? 내 주변엔 아무도 없다.,True,1,2025-03-07T21:36:33+0900,853266328264376499,16,0,1
kwan****,8a1eP,아직도 멀었다. 대선 압도적인 승리로 내란 강간 마약당 놈들 발붙일 틈이없게 해야한다.,True,1,2025-03-07T11:47:37+0900,853228386087076074,17,5,0
gbg2****,23K8M,역시 한겨레 손바닥으로 하늘가리기,True,1,2025-03-07T22:48:06+0900,853270937234047017,11,0,0
101o****,4lMBe,한계례 좌파 ?,True,1,2025-03-07T22:15:56+0900,853268864945881375,11,0,0
dong****,13mwM,아직도 한참 극우로 인한  보수 과표집이네......  최소 10%이상 조정해야 한다.,True,1,2025-03-07T11:43:38+0900,853228129328562423,15,5,0
kjki****,2XRM2,"탄핵반대합니다.
조작하는 모든것에 언론이 
여론몰이하는거 더이상 봐주기 싫어요",True,1,2025-03-08T17:38:30+0900,853343763219611806,11,3,0
gaia****,1ggTL,내 주변엔 다 탄핵 반대인데  그리고  주변에  설문을 받아본 사람이 없음. 받아본사람 있어요?,True,1,2025-03-07T17:30:19+0900,853250464853000339,11,3,0
mool****,Nbvs,"한계레  ㅎ 좌파언론!
딱 티가난다!
가짜뉴스 하지마라",True,1,2025-03-07T11:54:08+0900,853228806306005058,12,5,0
chki****,1DW1w,"가짜 뉴스 만드느라 얘쓴다.. 이제 사람들이 잘 안 속을 듯 한데, 속는 사람은 답 없는 것이고,,,",True,1,2025-03-07T14:10:48+0900,853237611123179947,7,0,0
4603****,,,False,1,2025-03-08T06:07:31+0900,853299246940553273,0,0,0
sunn****,5ARMz,여론조작 역겹,True,1,2025-03-07T14:02:44+0900,853237091012706631,7,1,0
jspp****,6EYH3,여론조작! 국민들 않속는다.,True,1,2025-03-08T15:48:01+0900,853336645183733766,6,0,0
sbk7****,,,False,1,2025-03-07T11:36:50+0900,853227691258675536,0,0,0
hkye****,af2sT,"탄핵 시키고 또 뽑으면 만족할래? 또 뭐가 맘에 안드네 그러겠지
맨날 뽑아놓고 궁시렁대는 족속들
지금 죄명이 중국이랑 북한에 얼마나 퍼주는지 모르나?
중국인 처우가 너무 좋아서 한국에서 떵떵거리고 당당하게 다닌다

모든지 쌥쌥이식으로 판사도 자기 입맛대로 
복잡한가정사(일가친척중 살인죄로 감방간 사람이 얼마나 된다고 조카가 모녀살인해서 수감생활하고 나왔다)
그 피는 어디 안간다",True,1,2025-03-08T13:11:47+0900,853326579659440368,6,1,0
jjt4****,63Kki,그래도 정상이 많아서 다행이다.비정상들 나라를 좀먹는 무개념 인간들과 함께 숨을 쉰다는게 구역질난다.많이 안가졌어도 상식을 새겨 바르게 살고 경우잏게 옳고그름 확실하게 사는 가치관을 가졌으면좋겠다.잘못하고도 반성도 없고 우기고 억지부리고 법치를 흔들고 그런것들을 지지하는 무개념들에게 옳지않음은 언제나 벌을 받는다는걸 이번 계획에 확실이 알려줘야힐다.쓰레기는 쓰레기통에넣어 소각합시다,True,1,2025-03-07T11:58:12+0900,853229068533891168,6,1,0
ssoo****,2Og4E,갤럽 한겨레 계속 윤통 탄핵 찬성 60프로라고 올리네요 ㅎㅎㅎㅎㅎ,True,1,2025-03-07T19:56:20+0900,853259871569576032,5,0,0
dj25****,LgKn,문제인이 제일  잘못했다  문제인이  윤석열보다  사과 해야한다   사람을  뽑을때  심사숙고 하지 못해서  이사단이  난게 아닌가,True,1,2025-03-07T19:12:12+0900,853257028888428611,5,0,0
alfh****,8pKe4,"ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 한괴뢰 다운 거짓뉴스 
니네 기사는 이제 안 믿어 ㅋㅋㅋㅋㅋㅋㅋㅋ",True,1,2025-03-08T21:25:01+0900,853358356478296072,3,0,0
madu****,8Amsw,한거레 진정한 쓰레기언론 조작질은 대단하다,True,1,2025-03-08T18:57:20+0900,853348841531900014,3,0,0
tkam****,3RB7z,한겨레는 거릅시다.,True,1,2025-03-08T12:24:41+0900,853323545147605170,3,0,0
jisu****,c9SL3,극좌들 많네 좌파 공산당들,True,1,2025-03-07T18:19:52+0900,853253657221661034,6,4,0
am71****,5NvIs,한겨레 정신차려라 니들은 대한민국 언론사아니냐??지금 북한에서 6천톤급 핵잠수함 건조중이다 우리도 이제 친중정권 없다고 무조건 미국편이라 하고 핵무기 만들어야한다 제발 돈몇푼에 나라팔아먹는짓은 그만둬라 부타한다,True,1,2025-03-09T10:38:07+0900,853409451674173466,2,0,0
smar****,,,False,1,2025-03-08T23:54:46+0900,853368004166025431,0,0,0
pil4****,1EJWa,지금도 이러한 뉴스를 믿으라고 하니 참 답답하네요 국민은 믿을 사람은 없습니다 올바른 여론 조사를 해 주세요 또 이런 여론조사는 국민 여러분 믿어서도 안 됩니다,True,1,2025-03-08T23:40:56+0900,853367113027420399,2,0,0
name****,97e88,구라핑 그만 찍어라 .,True,1,2025-03-07T17:20:29+0900,853249831630536932,2,0,0
byor****,18SaQ,"빨리 탄핵되고...
공정과 상식이 통하는 정상적인 나라에서 살고싶습니다.
대한민국 사람이라는 자부심을 가지고~~",True,1,2025-03-07T11:53:29+0900,853228764161638607,15,14,0
abs4****,3QuT7,"한겨레, MBC, JTBC  패스~ 콩으로 메주 쑨다해도 못 믿음~",True,1,2025-03-07T17:16:27+0900,853249571583688902,3,2,0
