user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
just****,,,False,1,2024-12-08T12:48:05+0900,844975637214003236,0,0,1
eron****,10OQM,멋진 교수님이시네요.  대한민국의  민주주의는 항상 젊은 학생들이  깨어 있었습니다.,True,1,2024-12-08T12:48:54+0900,844975689592471838,32,7,0
dbkw****,32nH3,"이런 교수님을 존경합니다. 허나 지난 시절 서울대 교수들은 왜 조국을 지원하고, 의사를 악마로 몰 땐 침묵했나요?",True,1,2024-12-08T13:22:44+0900,844977869556809942,39,16,3
zmff****,6IwaB,"멋지십니다,정말 중요한게 무엇인지 아스는분",True,1,2024-12-08T12:50:40+0900,844975803409105086,24,7,0
youn****,,,False,1,2024-12-08T13:17:25+0900,844977526412411008,0,0,0
wjsd****,1G4mi,공과 사를 구별 못함,True,1,2024-12-08T13:47:28+0900,844979462754795670,5,1,0
frog****,9VPT,"현실과 동떨어진 틀에박힌 시험이라는것이 괴리감이 없다면 진정한 지성인이 아니겠죠.
서울대 교수를 지지합니다. 적어도 서울대생이라면, 대학생이라면, 대한민국 국민이라면 많은 희생과 투쟁으로 이루어진 민주주의라는걸 인식하고..민주주의에 대한 무임승차가 아니길 바래봅니다. 절대로 윤석열과 국힘당은 용서될수없습니다",True,1,2024-12-08T14:59:44+0900,844984118516121837,4,0,0
sonm****,ce2Bj,이런게 지성인의 표현입니다,True,1,2024-12-08T15:43:25+0900,844986932340457613,3,0,0
gian****,,,False,1,2024-12-08T14:19:04+0900,844981498653179928,0,0,0
ii81****,,,False,1,2024-12-08T13:57:54+0900,844980134766182654,0,0,0
goho****,2516B,"정말 진짜 지식인~~^^
역시 지식인...멎지신 교수님...
교육은 이리 해야해요..",True,1,2024-12-08T13:50:03+0900,844979628446580742,3,1,0
lds7****,14HRk,학생들이 앞으로 사회를 이끌어가는 일원으로서 지금 자금의 사태를 스스로 교육의장으로 스스로 진정한국민의 한 사람으로서 진정한 나라의 미래에 직접 참여할수있는 기회를 주는 진정한 선생님 국가의 미래를 학생 스스로 볼수있는 장과 생각에 시간을주는 진정한 교수님 우리나라의 국회의원분들 지금 모든 국민들이 보고 있습니다 부끄럽지안은 역사에. 죄인으로 남지 마세요,True,1,2024-12-08T16:44:45+0900,844990883425157349,2,0,0
sohe****,2dUxh,이 시대에 꼭 계셔야 할 참 스승이시다.  경의를 표합니다,True,1,2024-12-08T13:42:10+0900,844979121321672765,3,2,0
sohe****,2dUxh,미친 윤썩렬봐라.  서울법대 나오면 뭐하냐? 공정이라고? 지나가던 개도 웃어야,True,1,2024-12-08T14:11:19+0900,844980998641811554,1,0,0
jang****,1mlZx,"거대 야당 대표가 본인범죄 재판 안 받으려고 도망다니고, 정부예산줄 다 끊어놓고, 자유민주주의에 반하는 입법 줄줄이 내놓으며 입법독재 벌일 때는 가만히 앉아있다가,, 이제 행정부 수장이 폭발하니 역사의 페이지 운운하며 기말시험 중단?",True,1,2024-12-08T13:47:04+0900,844979436196462618,11,11,1
hy00****,3K8Xa,이재명이 나라망치는건 괜찮고?,True,1,2024-12-08T23:51:58+0900,845018406900990220,2,2,0
