user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jkij****,230Gv,부부가 나란히 깜빵에서 행복하세요.,True,1,2024-12-14T17:58:33+0900,845552265983951037,288,8,4
cher****,1ux4e,부부가 동시에 빵으로  어우 사이다,True,1,2024-12-14T18:00:30+0900,845552391829848264,59,3,1
jean****,aPgNV,이제는 이재명의 시간이다. 이재명은 양심에 따라 스스로 판단하고 결정해야 할 듯. 아니면 국민들이 가만 두지 않는다.,True,1,2024-12-14T18:00:37+0900,845552399497036036,100,68,11
jean****,aPgNV,바로 체포해야 한다.,True,1,2024-12-14T17:59:23+0900,845552319335497869,23,1,1
amaj****,2uLj9,윤석열도  김건희도  탄핵하라!  이제는 이재명이다.  ㅂㆍㅁ죄자가  대통령이 되는일은  민주주의에  있어서는  안된다.,True,1,2024-12-14T17:58:29+0900,845552261537988767,60,40,5
time****,,,False,1,2024-12-14T18:10:03+0900,845553006966472727,0,0,0
kjh1****,,,False,1,2024-12-14T18:04:03+0900,845552620855623700,0,0,2
0412****,bCjfZ,"건희야 참고소하다
막무가네로 놀더만
싸구려 쥴리~~
니가 무슨 영부인
넌 전과자야",True,1,2024-12-14T21:57:16+0900,845567645758521420,10,1,0
chyj****,crUya,제발  죄수복  입는꼴  봤으면 좋겠다,True,1,2024-12-15T07:50:29+0900,845605862813728834,8,0,0
axis****,1ipuw,"이제 대통령은 고학벌 도련님같은 세상물정 1도 모르는 인간이 하면 또 거기 붙어서 비리저지르고 있고 절대  안된다는게 명백해졌다.
고생 제대로 해본사람이 대통령으로 나와야한다.  바닥 민생을 이해를 제대로 하는 대통령이 나와야 미래가있다.",True,1,2024-12-15T01:35:14+0900,845581688053432346,8,0,0
bakj****,Ud8q,윤석열 탄핵만큼 기쁜 일은 주가조작 범죄자 김건희에 대한 특검 수사다. 검찰 가족이면 수많은 범죄 물증에도 불구하고 대놓고 불기소를 하는 국가에서 무슨 희망이 있겠는가! 윤석열과 검찰들이 파괴한 법치국가 근간을 이번 기회에 바로 잡아야 한다,True,1,2024-12-14T18:19:42+0900,845553629233414527,8,0,0
yama****,205Ug,휴 드디어 쥴리 잡는구나,True,1,2024-12-14T20:13:08+0900,845560936516288556,7,0,0
lyo0****,MmDc,"이재명씨, 당신이 떳떳한 정치인이라면, 재판결과는 받은 다음에 대선 치르십시오:)",True,1,2024-12-14T18:30:57+0900,845554353220616560,8,2,0
open****,D8X7,교도소가서 죄수들 손금 봐주면 되겠네,True,1,2024-12-14T19:00:57+0900,845556286073340210,6,0,0
pia1****,6moEi,그렇게 수많은 사람들 눈물흘리게 하더니 이제 피눈물좀 흘려봐라,True,1,2024-12-14T19:15:54+0900,845557249739850009,4,0,0
nice****,3pYB,재명이 대통령될까 걱정된다,True,1,2024-12-14T23:01:24+0900,845571776829194342,4,1,0
sse0****,c9qX,대통령 탄핵을 하니 최초 영부인 특검이 1+1으로 오네?! ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,True,1,2024-12-14T21:42:46+0900,845566711032709356,3,0,0
zeze****,15oy9,김건희 성괴 출국금지 시키고 핸드폰 압색해라,True,1,2024-12-14T20:48:59+0900,845563246084620558,3,0,0
whyk****,,,False,1,2024-12-14T18:04:55+0900,845552675868115260,0,0,3
coro****,mL2i,윤석열은 탄핵됬으니 이젠 이죄명의 시간이네..... 계속 도망댕기고 셀프사면 법안 통과시켜보라고!!!! 네넘도 국민들손에 ㄷ질꺼야!!!!,True,1,2024-12-14T18:25:32+0900,845554004707508451,5,3,0
dneo****,4yKqX,윤가야  너는겸손부터 배워라,True,1,2024-12-14T19:18:08+0900,845557392748838962,3,1,0
kdhc****,Hihp,도망 갈 생각 하지마라 거니야..넌 끝났다.,True,1,2024-12-15T10:42:04+0900,845616917724004383,2,0,0
tjdg****,3Uwws,김거니 넌 이제 깜빵이다,True,1,2024-12-15T09:00:31+0900,845610374425215067,2,0,0
lees****,5WpyK,성괴녀 깜방가도 잘 적을 할꺼로 보임 ㅋ,True,1,2024-12-15T06:49:12+0900,845601914715373583,2,0,0
