user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
mi95****,gpri,탄핵  반대가 몇배로 많은데 보여주지도 않고 편파보도 지겹다 진짜,True,1,2024-12-28T18:56:00+0900,846854765953417219,260,31,7
88na****,,,False,1,2024-12-28T18:39:08+0900,846853679142141990,0,0,10
jws7****,3n47u,지금 민주당과 민주당 출신 국회의장 우원식이 진정한 내란수괴,True,1,2024-12-28T18:54:01+0900,846854637473497091,119,23,4
jr2k****,4fV2y,"보수가 이순신부터 시청까지 
민노측 그옆부터 경복궁 딱봐도 동원된 중국인다문화 많더라 외국인들이 남의나라에서 좌파탈출은 지능순이라 젊은이들이 깨어나고 있다",True,1,2024-12-28T18:57:08+0900,846854838548430879,70,10,0
jaey****,5STNJ,탄핵 사유가 안된다. 탄핵 시키면 앞으로 대통령제를 할 필요가 없지. 거대 의석 야당이 헌법 무시하며 억지 부리면 도장이나 찍어줘야 하나? 계엄으로 윤통 탄핵시킬거면 악질 무고에 가까운 탄핵 3년간 22번 했던 민주당은 해산시켜야 한다,True,1,2024-12-28T18:57:18+0900,846854848849641529,61,21,0
laon****,3F62s,"가보고 이런 기사 쓰는 거면 국민의 눈을 가리려는 기자네요. 반대집회 인원이 비교할 수 없을 만큼 많던데요. 찬성쪽은 그에 비하면 한줌정도로 보일 정도고 사회주의 깃발든 사람들, 중국인들로 보이는 사람들도 많음. 찬성집회인원이 쪼그라드니 눈속임하려고 광화문 온 거 티납니다.",True,1,2024-12-28T19:10:24+0900,846855693616021598,17,0,0
love****,1AMCS,탄핵 반대집회가 100배는 많았어요!  언론은 중국 검은돈에 장악되었어요! 국민여러분 정신차리지 않으면  공산화되요!!!  토요일 1시 광화문 탄핵반대집회 나와주세요 나라를 살려주세요!!!!!!!,True,1,2024-12-28T19:18:10+0900,846856193308622885,16,2,0
kcta****,1dZyA,타신문사에서 정말로 샜습니다 탄핵찬성 1900여명 탄핵반대 200만여명 입니다,True,1,2024-12-28T18:59:57+0900,846855020296011995,14,1,1
1981****,2BnZO,당연히 탄핵 무효 아닌가요. 윤석열 각하가 도대체 몰 잘못했는지.? 단지 대한민국 안보 반공방첩 멸공만 생각하신 게 죄인가요.,True,1,2024-12-28T18:47:21+0900,846854207943213135,43,31,5
yoon****,1ec0W,기자님 비교기사를 쓰려면 찬성과 반대 사진을 두 개 다 넣었어야죠. 텍스트는 찬성 반대 다 있는데 사진은 찬성쪽만 있으면 돼요? 안돼요?,True,1,2024-12-28T19:20:44+0900,846856358849413309,12,0,0
maru****,4DKBI,"광화문은 몇배나  많이 왔는데
역시나 편파적언론
한쪽만 보는 우매한 국민",True,1,2024-12-28T19:02:44+0900,846855199560564906,10,1,0
dong****,,,False,1,2024-12-28T19:03:55+0900,846855275947229419,0,0,2
imhe****,kJTv,인원 얼마 안되네. 저 뒤에는 한 10배 이상 탄핵반대 시위하던데! ㅎ,True,1,2024-12-28T19:09:00+0900,846855602851282948,8,1,1
dlwl****,4CXer,거짓기사 적당히 써라!!!!!!!🔥🔥🔥 반대집회가 몇십만인데,True,1,2024-12-28T20:11:00+0900,846859596902432772,7,0,0
tiff****,3owxd,탄핵 무효 사진은 왜 없나요,True,1,2024-12-28T19:46:41+0900,846858030346666162,6,0,0
ksh9****,VTtK,"내가 딱 정리해줄게. 자꾸 내란 내란 그러는데 내란 여부 결정된거 1도 없다. 그렇다고 윤석열 비상계엄이 정상이냐 그건 아니고 절차상의 문제,권한남용은 분명 맞다.고로 탄핵되는건 맞다. 근데 자꾸 내란 내란 거리면서 국정 흔들고 국민의힘 모두를 내란범으로 몰아서 쳐내려는 민주당은 이시국을 이용해서 이재명 대통령 되게하고 자기네들 이익 챙길생각에 탄핵 남발하는 게 맞다",True,1,2024-12-28T19:32:06+0900,846857091527213082,7,2,0
irab****,32AHW,양쪽집회 사진 같은 비율로 찍어서 올려주세요.,True,1,2024-12-28T19:07:19+0900,846855494571130964,5,0,0
hmsr****,2R5o0,탄핵무효,True,1,2024-12-28T18:55:55+0900,846854760148500684,5,0,0
