user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
gncd****,2nzIf,철새 이동지라 짓지 말자는 지역을 표 얻으려고 지었다가 이 사단이 발생했는데 민주당 의원들 지금 뭐 하고 있습니까? 국토부 장관 탄핵하려고 준비중입니까?,True,1,2024-12-29T15:52:47+0900,846935732965605602,170,15,6
choh****,ypox,지난 2년간 수십차례 탄핵남발로 국정 마비시키고 안전관련 예산 수조원 삭감한 놈들 책임이다.,True,1,2024-12-29T15:58:21+0900,846936091209498740,76,6,1
scp3****,,,False,1,2024-12-29T15:59:43+0900,846936179994525927,0,0,1
ruda****,67z6d,"민주당이 지역이기주의로 새 많은 갯벌가에 무안공항 지어서 일어난 대참사다. 경제성도 안나오고 새도 많아서 버드스트라이크 위험지역인데 왜 무안공항을 지었나? 민주당의 정치인들이 만든 대참사다. 이런 상황에서 탄핵에 탄핵을 해대서 국정 마비시키고, 이재명 방탄한다고 담당검사 탄핵하고, 산업스파이 잡는 간첩법도 반대하고, 탈원전으로 전기세 올려 국가산업경쟁력까지 박살내고 있다. 여기다 기본소득으로 일하는 자에게 세금 걷어서 백수들에게 나눠준다고 한다. 국회의원 연봉 1억6천만원으로 올려 지들 뒷주머니만 챙기는 민주당은 이완용이다.",True,1,2024-12-29T16:13:07+0900,846937042712526885,51,2,3
kdhf****,2N3ay,"전남도지사가 책임지나. 
무안군수가 책임지나?",True,1,2024-12-29T15:56:13+0900,846935954424856652,28,2,3
ms36****,2SESQ,"여론이 불리하게 돌아가니 핑계거리  찾아,,",True,1,2024-12-29T15:58:40+0900,846936112030023879,14,0,0
scp3****,,,False,1,2024-12-29T16:02:28+0900,846936357363253390,0,0,1
kery****,,,False,1,2024-12-29T16:24:37+0900,846937783577608381,0,0,0
taeh****,EtpC,공항 건설 무리하게 밀어부친 민주당 탓 맞네.,True,1,2024-12-29T16:20:43+0900,846937532640788716,7,0,0
pent****,2dcDN,"https://n.news.naver.com/mnews/article/022/0003998353?sid=100  이재명은 쏘패가 맞다. 사고 속보가 쏟아지고 있는 상황에도  이딴 sns나 쳐올리고 있으니,.., 이딴게  대선 1위 후보라니 참 암울하다. 사고전이라고 우기는 응원봉부대 셋기들아 사고 후  뉴스에도 나고 난리난 상황서 쏘패 이재명이 올린거다.",True,1,2024-12-29T16:05:24+0900,846936545670725764,6,0,0
