user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
powe****,m1h8,이화여대 학생들이 탄핵반대 시국선언 하겠다는데 대진연 이것들이 와서 훼방을 놓네요 경찰들은 뭐하나요?? 이화여대는 학생들의 학교 아닙니까? 왜 학생도 아닌 사람들이 집회를 방해하게 가만 두는 겁니까?? 대진연 주한미군 해체를 울부짖는 것들 간첩으로 잡아가야 되는거 아닙니까?,True,1,2025-02-26T13:52:48+0900,852401509755781469,257,45,10
0803****,cTGuq,"간+첩들,  빨☆이들이 너무 많다!!! 진정한 계몽령! 김정은에게 기밀 담긴 USB를 넘기는게 대통령이던 시절, 국정원과 군대, 사법부, 언론기관 등등에 종북, 중종 반역자들이 곳곳에 심어졌던걸 국민들이 이번 계엄 때 알게된 것!!! 반공, 애국을 탄압하고 간첩죄 개정 반대하는 것들이 내란범들이다!",True,1,2025-02-26T13:55:25+0900,852401677611827365,71,22,5
dheh****,6sLJp,"탄핵 찬성 할 수도 있고 반대 할 수도 있다. 표현의 자유,언론의 자유가 보장되어야 하니까. 그런데 어떠한 이유로라도 시위하는 사람들에게 위해를 가하는건 잘못되었다. 그 정도 시민의식은 성숙해 져야 한다.",True,1,2025-02-26T13:49:15+0900,852401280763560034,43,3,10
este****,1uFzi,조국때처럼 대학가서 시위하는 일반인 시위꾼들 잡아들여라 불법시위 공권력낭비 질서교란 행위다,True,1,2025-02-26T13:46:46+0900,852401120356598130,36,2,1
pacs****,bkYrY,ㅋㅋㅋㅋ초졸vs대재 싸움 ㅋㅋ,True,1,2025-02-26T13:46:47+0900,852401122420195696,17,1,0
ques****,5Lpd,이미.대통령인데 무슨 내란수괴냐.참 너무 뒤집어 씌운다.ㅋㅋ,True,1,2025-02-26T14:04:53+0900,852402288168272223,11,3,1
dagu****,2VQ4F,심지어 여대생들까지 반대하는구나. 탄핵 인용 되면 헌재 벌갱이 3인방 그날 광화문에 효수된다.,True,1,2025-02-26T13:51:29+0900,852401424661741790,13,6,1
askd****,CJnd,대진연 해체시켜라 빨강이들이다.멸공!!!,True,1,2025-02-26T14:09:33+0900,852402588279111914,7,0,0
jump****,1Uyhm,중국인들과 그 하수인들의 농간질에 나라가 멍든다..  우리가 자유롭게 말하고 정치 얘기를 어떻게 할 수 있게 된건지 곰곰히 생각해 봅시다. 지금 민주당의 재갈 물리기가 홍콩의 것과 많이 유사하지 않나요?,True,1,2025-02-26T13:49:00+0900,852401264238002179,9,3,1
jh04****,1GZpa,보수라는 자칭 하는것들은 왜 다 저렇게 폭력적일까 짐승도 아니고,True,1,2025-02-26T17:21:21+0900,852414945269121193,8,2,2
