user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
nl17****,6jtTN,정유라는 아시안게임에 나가 금메달이라도 당당히 따기라도 했지 조민은 부모의 온갖 부정과 조작질로 의사도 됐다가 걸려서 짤렸다지?,True,1,2025-03-02T14:40:44+0900,852775683179413696,362,118,12
jiwo****,1tk8v,"정유라 용기 있더라!!쉽지않았을텐데!!
우파의 굳은 심지 멋지다!!
응원한다!!",True,1,2025-03-02T14:38:40+0900,852775549179789474,173,86,4
stnz****,WRnW,ㅋㅋ 정신나갔네,True,1,2025-03-02T14:40:54+0900,852775693312852188,168,89,5
lead****,xtDk,정유라의 소신과 용기를 응원합니다.,True,1,2025-03-02T14:47:47+0900,852776137221210313,98,32,0
yoon****,16Wct,이죄명이 대통령되는건 절대 막아야 합니다.자신의 죄값을 확실히 받아야 합니다,True,1,2025-03-02T14:55:18+0900,852776620941901904,78,23,1
aldm****,2lRNw,똥들이  뭉치고 있네  잘됐다  기억하고  다  씻어내자,True,1,2025-03-02T14:37:34+0900,852775479101358232,21,12,0
kimm****,6ez7l,돈 없어서 구걸하고 다닌다더만 극우 코인이 달달하긴 하지 ㅋㅋㅋㅋㅋ,True,1,2025-03-02T14:53:05+0900,852776478637555745,18,9,2
paul****,rC1d,얘는 왜 기어나오는거지? 그리고 왜 기사거리가 되는지 이해불가,True,1,2025-03-02T15:01:44+0900,852777036027003079,11,3,0
marc****,3sghi,구속은 윤석열이 시켰는데 ㅋㅋㅋㅋㅋㅋㅋ왜 이재명타령임;;; 너네엄마 태블릿 조작한것도 윤석열임ㅋㅋㅋㅋㅋㅋㅋ,True,1,2025-03-02T18:18:26+0900,852789707673698434,9,1,0
hiol****,907re,"우리나라 보수라고 참칭하는 자들은 뭐니뭐니해도 신념이나 상식도 없고 그때그때 자신들 이권이나 이익에 엄청 충실하지..
그러니 기회주의자라고 불리지 ㅋㅋㅋ",True,1,2025-03-02T14:42:23+0900,852775789614071930,17,10,2
powe****,ahwof,하 진짜 악귀들,True,1,2025-03-02T14:46:14+0900,852776037094785101,9,2,0
seon****,5qFMR,지엄마 깜방 에서 통곡소리 들리지 않냐,True,1,2025-03-02T15:38:48+0900,852779423223513303,7,0,0
m279****,11fCA,"챙피한줄도 좀 알아라
  자숙하면서 조용히 살지 참 걱정이다",True,1,2025-03-02T14:38:09+0900,852775516850094127,130,124,6
jge0****,1XfAG,정유라를 응원합니다.,True,1,2025-03-02T14:45:26+0900,852775985639063656,12,6,0
mool****,55NdJ,이건 뭐 또라이도 아니고...에미는 에미고 저는 저인가!!,True,1,2025-03-02T15:39:53+0900,852779493553602816,8,2,1
skyn****,266tr,"놀고있네, 윤거니와 너희들과 비리녀 거니 국짐당국개의 공통점은 비리의 온천이며
남탓과 괴변으로 불법으로 적법을 불법이라고 탓하는 꼴이라니",True,1,2025-03-02T15:04:59+0900,852777244853010672,8,3,0
span****,1ykK,"조미니 표창장 위조하고 스펙품앗이 해서 고려대-의전원 간거에 비하면 정유라는 최소 아샨게임 금메달이라도 땄고 이대에서도 입학취소 5G급으로 신속했는데, 조미니는 지 애비와 더불어 처분과 재판속도 2G보다 느렸음.",True,1,2025-03-02T15:57:28+0900,852780626317672568,5,0,0
kjc4****,1D6yc,먹고살 돈 없다면서 얼굴이 계속 변화하는거 같은건 내 눈에만 그런가?,True,1,2025-03-02T16:15:08+0900,852781765020876843,4,0,0
