user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
jiwo****,1tk8v,"모든건 윤통이 복귀한 이후에 하라!!!
조기대선 절대없고 국힘도
더블공산당처럼 자꾸
김칫국마시다가 민심 돌아선다!!
오직 대통령 복귀에만 힘써라!!멸공",True,1,2025-03-04T16:27:55+0900,852968130681504162,37,15,1
ysh2****,azZIT,꿈깨라 반국가세력들아 니들이 지지자 없이 뭐 될줄아냐,True,1,2025-03-04T16:31:32+0900,852968363549262053,13,1,0
dlsk****,11OcT,국개들 권한은 안줄이고?,True,1,2025-03-04T16:39:35+0900,852968882653102327,5,0,0
qfhz****,,,False,1,2025-03-04T16:50:39+0900,852969595030470950,0,0,0
raid****,17Q3H,100석 따까리의 소수 정당이 개헌? 이것들이 꿈을 꾸었구나. ㅋㅋㅋㅋ,True,1,2025-03-04T16:39:16+0900,852968862302339203,2,1,3
leek****,188z5,탄핵 인용. 물거품 후~~~,True,1,2025-03-05T10:28:16+0900,853037731666722922,0,0,0
teo1****,1cjdr,아주 충실한 OOO2들이네.,True,1,2025-03-05T09:16:49+0900,853033128048984361,0,0,0
cop1****,PfGG,응 국짐내란당 니들끼리 뭘 띄우든 말든 관심없다. 정권 바뀌기 전에는 내란범들하고 개헌 논의 안한다.,True,1,2025-03-04T23:59:59+0900,852997254284312848,0,0,0
maho****,QRTX,당이 하나만 존재허고 자유민주주의를 버리는 것만이 제7공화국의 출범이 필요허데이.,True,1,2025-03-04T20:41:56+0900,852984495379317057,0,0,0
ande****,6HzuF,발악을 하는구나. 짐덩어리들,True,1,2025-03-04T16:47:55+0900,852969419591123300,0,0,0
belu****,3EsqT,"개헌은 지지율 75%는 되야 하는거지.
도둑놈들 면피용이 아냐",True,1,2025-03-04T16:42:13+0900,852969052019097695,0,0,0
anwj****,8lC7q,"나라가 힘이있어야 지키는데 일찍들은 비난하고 
성가니 2000비리에도 감싸고 사드전자파 철회하라고 거짓에속아 시위하고 ㄱ우병도 시위하고 오염수선동 11년이후 22년에도 시위ㄷ 진자 사람맞나??우크라이나 핵많은 국가가 어떻게해서 처참하게 됬는지?? 일찍들은 미래를위해서 당을 지지하는게 맞나?",True,1,2025-03-04T16:41:17+0900,852968992006996098,0,0,0
leek****,wt0W,개혁은 국회의원 권한부터 줄이는데서 출발이다,True,1,2025-03-04T16:40:56+0900,852968969223537010,0,0,0
hsun****,1WjbS,ㅋㅋ 모지리들,True,1,2025-03-04T16:40:01+0900,852968909765083144,0,0,0
e2d2****,jVeQ,전기의자 치지직!! 한순간 다 없던일 될텐데.,True,1,2025-03-04T16:34:17+0900,852968540850880643,0,0,0
ksd6****,3uCbq,이죄명이 칼자루 쥐었는데  가능하겠냐?,True,1,2025-03-04T16:29:02+0900,852968203108745236,0,0,0
ing3****,uRFM,헛소리 누구도 집권하면 안하더라,True,1,2025-03-04T16:27:37+0900,852968111605809413,0,0,0
jk******,1D4TU,윤통 복귀!!,True,1,2025-03-04T16:27:29+0900,852968102780993731,5,6,0
ceej****,2SWUK,도라지들인가??,True,1,2025-03-04T16:44:14+0900,852969181790863474,0,1,0
wive****,,,False,1,2025-03-04T16:39:58+0900,852968907181392247,0,0,0
dazz****,o4sX,비리정당ㅋㅋ,True,1,2025-03-04T16:42:14+0900,852969052790849633,0,2,0
cky9****,zrdj,국방을 남기자는데 동의하는 동신나간 사람이 있겠냐? 군통수권을 남겨놓자고? 저짓거리를 하는데? 헌법조차도 지킬 생각자체를 안하는데 감정으로 군대를 움직였는데..그리고 감정으로 설득하려고 했고 아직도 그러고 있고 계몽이라고 하는데 제정신임?,True,1,2025-03-04T16:37:23+0900,852968740633968798,0,2,1
