user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
sten****,3mPnK,헌재는 도대체 뭘 하고 있는거냐?...거리의 국민들 고생하는거 안보이냐...경제도 폭망이라 먹고살기도 힘든데...왜 방관만 하고 있는거냐...나쁜 사람들이네 정말...!!!,True,1,2025-03-28T14:57:14+0900,855188798978392181,13,2,0
stil****,1h0YB,"마누라 방탄하려던 내란수괴 때문에 나라가 이게 무슨 꼴인지. 제발 정상적인 사고를 하고 살자..내란수괴 파면이 찬반을 논할 일인가. 정상과 비정상, 옳음과 틀림, 상식과 비상식의 싸움이다. 2024년 12월 3일 내란수괴의 명령에 의해 무장군대가 침투하여 국회가 유린당하는 모습을 전국민이 생방송으로 지켜봤다! 명백한 위헌 위법 계엄 내란이었다! 증거가 차고 넘치는데 내란수괴 하루빨리 파면시켜라. 나라 경제 상황 엉망진창에 국민들 하루하루 고통스럽다.",True,1,2025-03-28T19:20:56+0900,855205788375843102,10,4,0
5627****,,,False,1,2025-03-28T12:53:04+0900,855180799887015975,0,0,0
jsim****,cQmaH,뭐가 무서워 선고를 안하냐?,True,1,2025-03-28T14:59:09+0900,855188923045904441,6,0,0
cool****,2ixzq,헌재가 저러고있는 동안 헌법의 대가 김제동은 뭘하고있는거냐!!!,True,1,2025-03-28T10:10:41+0900,855170338386870604,5,1,0
gggc****,1Ofla,집회할 틈에 산불 피해지역 이재민 돕기 봉사활동이나 하세요 그게 교회 아닙니까 ? 전광훈씨,True,1,2025-03-28T10:49:05+0900,855172812170592304,4,0,2
happ****,12zwt,얼른 탄핵하고 조기 대선 하고 아무나 뽑자 누굴뽑든 윤거니보다 잘하겠지,True,1,2025-03-28T10:34:21+0900,855171863167369394,6,4,1
sky1****,,,False,1,2025-03-28T09:22:32+0900,855167236178968791,0,0,1
knp3****,dBuhy,"윤가놈을 사람으로 보는 인간들도 있다는 것이 놀랍다. 그것들의 뇌에는 똥이 가득한가 보다.
거짓말을 입에달고 살면서 책임감은 1도 없고 부하들에게 책임을 뒤집어 씌우는 비열한놈. 지지하는것들도 똑같은 인간이하 짐승들.",True,1,2025-03-28T10:57:14+0900,855173337649774706,8,7,0
suns****,6SGtd,"어쩌다 대한민국이 무법천지가 되어 가는지! 대통령은 불법비상계엄으로 욕심을 챙기려고 하고 힘 있는 일반국민들은 힘없는 서민과 장애인을 쓰레기 취급하고, 어쩌다 이렇게 무법천지가 되어 가는지!",True,1,2025-03-28T10:22:39+0900,855171109333500200,6,5,0
hyun****,2u2jf,사람잡는 윤수괴 법원파괴 파락호 개독교들 너희들은 태극기를 들지마라,True,1,2025-03-28T10:59:31+0900,855173485004062998,3,3,0
asso****,,,False,1,2025-03-28T16:17:16+0900,855193956076486751,0,0,0
tjds****,daZ1c,저 지적장애1급의 장애자입니다 38 저 서울 영등포삽니다 전 5000만전체 한국국민들이 엄청 싫어합니다 내가밖에나가면 야 이 장애자 XXX야 냄새나 꺼지라며 나를 막 때릴라 그럽니다 또 영등포 포장마차 지나가면 술취한 아저씨들이 이놈땍히 너 일루와 야 장애자가 밖에 왜 돌아다녀 ㅈㄴ 쳐맞기전에 집으로 꺼지라 그래서 무서워서 울면서 집에왔습니다 5000만전체 한국국민들 다 교활하고 야비합니다,True,1,2025-03-28T10:18:38+0900,855170850914042147,2,2,1
chun****,qOlS,국민임면 직접탄핵,True,1,2025-03-28T15:07:07+0900,855189435656962090,0,0,0
jins****,,,False,1,2025-03-28T11:22:19+0900,855174953715105952,0,0,0
yeon****,cRHsp,집회할 동안에 산불이나 진화 하러 가세요. 밥 드시고 할일들이 그리 없으신가... 밑에 지방에선 산불로 사람이 죽어가는데..,True,1,2025-03-28T10:21:26+0900,855171030715465936,2,3,0
1229****,19dCV,헌재 재판괸들이 바로 을사년 8적이네,True,1,2025-03-28T20:01:12+0900,855208382804525130,0,1,0
tjds****,daZ1c,저 지적장애1급의 장애자입니다 42 저 서울 영등포삽니다 전 5000만전체 한국국민들이 엄청 싫어합니다 나를보면 피하거나 도망가기 바쁩니다 바로내가 역겹고 더러운 장애자기 때문입니다 전 5000만전체 한국국민들에게 단 한번도 인간대우를 받아본적이 없습니다 내가 밖에나가 길거리 걸어가면 5000만전체 한국국민들이 야 이 장애자 XXX야 집에나 쳐박혀있지 왜 나왔어라며 나에게 온갖쓰레기와 돌을집어서 마구던집니다 또 영등포 포장마차를 지나가면 술취한 아저씨들이 이놈땍히 집으로꺼져라고 합니다 5000만전체 한국국민들 교활하고 야비합니다,True,1,2025-03-28T11:19:34+0900,855174776010834193,0,1,2
dark****,GJeZ,"탄핵기간 동안 느낀거 대통령없어도 나라잘돌아간다. 국개의원 없어도 나라 잘돌아갈끄라 확신한다. 찢재명 윤석열이 같이 깜빵보내고, 국회해산하고, 예산 집행은 각 지방단체서 협의해서 분배하든가 지방 제각각 알아서 처리하든가 하도록 하자. 그리구 판사들도 중요관심사 아니면 대부분의 판결이 느그끼리 알아서 합의해라 이건데, 그랄라믄 판사가 와 필요하노? 법원도 해산하구 경찰, 소방, 학교, 군대만 남기자. 다 돈낭비인기라.",True,1,2025-03-28T10:42:47+0900,855172406665281935,0,2,0
toro****,1Z68l,애국국민들은 이번이야 말로 절대 물러서지 말고 사즉생 생즉사의 자세로 죽기살기로 싸워야 합니다 그래야만 윤대통령 님을 지키고 자유민주주의를 지킬수 있습니다 멸공 🔥🔥,True,1,2025-03-28T10:51:49+0900,855172988398469504,1,7,2
