user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
mist****,6hJ1K,윤석열 욕하더니 저기는 또 가네 ㅋ 진짜 재밌는 국민이야.,True,1,2025-04-09T08:55:18+0900,856278737895817324,61,18,7
jong****,Zhew,좌파 문재인도 청와대 나온다고 해 놓고 안 나온 이유가 보안 경호? 문제로 못 나온다는건 핑계고 거기가  좋거든   거길  또 끼어 들어간다고?,True,1,2025-04-09T08:44:32+0900,856278044191490219,68,32,7
wpfl****,44IfE,수도권집중되어있는게 장기로크게보면좋은게없음 세종시로옴겨가는것도 좋은대안일듯,True,1,2025-04-09T08:53:06+0900,856278596346445859,34,13,10
epoo****,12LsR,찢 주석궁으로 바꾸는 거에 목숨거는 조압빨들!!,True,1,2025-04-09T08:46:08+0900,856278147539140651,27,15,0
blue****,L05D,그냥 국민들품으로 놔둬라. 하는일 없는 놈들이 권력놀이 하는곳을 알면서 또  그런 놈들을 찍어주면 안되지. 청와대 간다는 놈은 무조건 찍어주면 안된다. 그저 숨어서 딴짓 할 놈들은 무조건 찍어주면 안된다. 경호도 필요없다. 국민들이 찌어준건데 왜,True,1,2025-04-09T09:07:23+0900,856279515939209337,18,9,0
only****,356JS,무당말 듣고 멋대로 비싼 돈 들여 쥴리 아방궁 만들고... 청와대 개방 효과가 몇백억 어쩌고 하더니만 다 구라였고.... 진자 석열쥴리는 사형감이다,True,1,2025-04-09T09:18:57+0900,856280261434802519,12,6,1
kys1****,d6IPi,"문재인도 공약까지 하면서 쵱와대서 나온다했음
민주당이 한짓은 잊었나보네",True,1,2025-04-09T08:52:13+0900,856278539085807688,7,2,2
slee****,,,False,1,2025-04-09T08:59:56+0900,856279035641069895,0,0,0
kgs1****,2zUBO,"세금낭비해서 용산 대통령실 없애고 다시 청와대로 가야 합니다
용산은 드론공격으로 취약합니다 .청와대가 제일 안전 합니다
세금낭비 손배청구해서 다시 다 받아야죠 국가가 손배소송 하셔요.",True,1,2025-04-09T10:15:26+0900,856283899926413495,5,1,0
ioio****,43Jyo,"꿈깨
청와대는 지난과거일뿐",True,1,2025-04-09T08:51:34+0900,856278497075658898,4,0,0
spli****,e4ozI,권위적인걸 좋아하지는 않는데 제일 나은곳 같기도 해 사람들초청하거나 외국인초청할때도 그렇고 사람이 누군지가 중요하지 건물이 중요한가  중간접점 없을까  일하면서 절반은 개방?,True,1,2025-04-09T08:42:56+0900,856277940625735933,8,5,0
rlae****,1JZNk,윤통 업적 청와대 방문 허가,True,1,2025-04-09T08:50:02+0900,856278398744395788,5,2,0
chub****,ZjJn,혈세 낭비에 정말 속터짐,True,1,2025-04-09T09:31:27+0900,856281067076714663,3,0,0
ssh5****,1pzds,보안이 다 털렸는데 가겠냐?,True,1,2025-04-09T09:10:10+0900,856279695354757180,3,0,0
th1g****,7xt7i,구중궁궐 이라던데.들어앉아 귀닫고 눈감고 지내다가 시끄러우면 왜들 그러냐고 외부인사에게  물어본 대통령도 있었잖아,True,1,2025-04-09T08:38:47+0900,856277673415016726,3,1,0
step****,ICx8,세종시로 꺼지라고 정치것들아,True,1,2025-04-09T09:38:59+0900,856281551434940859,2,0,0
v011****,,,False,1,2025-04-09T09:35:22+0900,856281319154385038,0,0,0
chu6****,2PuT8,세종으로 내려가는게 맞는듯 너무 과밀집되있어 정치인들이라도 좀 내려가야할듯,True,1,2025-04-09T09:30:29+0900,856281004648693920,2,1,0
youn****,77XxU,"부산에도 경치좋고 좋은데 천지 빼까린데, 다음 대통령은 부산으로 오는게 맞다고 봅니다",True,1,2025-04-09T11:31:51+0900,856288823250780517,1,0,0
crom****,1ZvUj,그동안 날씨 춥고 주변에 탄핵관련 집회가 많아서 관람객이 일시적으로 줄어든거지. 날씨 좋은 봄가을철 단체고 해외관광객 미어터지는 곳임.,True,1,2025-04-09T10:14:50+0900,856283861640806732,1,0,0
stee****,XJDa,저기에 소형원전 설치해야 했었는데....사고가 나도 안전하다니 설치 안할 이유도 없고..못믿는사람 서울 빠져나가니 집값안정도 되고...,True,1,2025-04-09T09:23:07+0900,856280529283055666,1,0,0
hugo****,J6i8,청와대로 돌아가지 말자.,True,1,2025-04-09T09:06:51+0900,856279481814352150,1,0,0
hong****,25VD4,봉황이 다시 집으로 돌아오면 한국은 흥할겁니다,True,1,2025-04-09T08:48:23+0900,856278291638648936,1,0,1
kcse****,2xfyR,지난 3년간 한 일이라곤 국민들 혈세로 집옮기고 처먹고 마시고 놀러디니고 정적죽이기에 올인한게 다임.,True,1,2025-04-09T08:50:19+0900,856278416998006873,11,11,3
iabr****,8PNq6,대통령 없는 청와대가 뭔 의미가 있나 ~~ 다음 대통령은 청와대에 있었으면 좋겠다 ~~ 식민지에 전쟁에 후진국이었던 우리나라 이만큼 사는것 보면 청와대 터가 안좋다는 말은 잘못됐다고 생각한다 ~~ 사람이 문제였지 ~~역술가 말대토 한남동 간윤씨보면 모르겠나,True,1,2025-04-09T14:56:28+0900,856302005998584008,1,1,0
x447****,by9EE,청와대 들어가면 탄핵되고 죽는단 무당말에 안들어갔단 루머 임기초 들었음... 그 무당 뜻은 청와대(장소)말하는게 아니고 청와대의  상징. 즉 대통령이 되면 어차피 탄핵되고 계엄내란으로 사형선고 받는 운명이란 뜻이었나봄..ㄷㄷ. 운명은 정해져있는게..ㄱㄴ부인이 그렇게 피해가려 애써줬지만 손바닥왕 스스로 ㄱㄴ몰래 계엄을 일으켜 스스로 운명대로 탄핵되었음.,True,1,2025-04-09T09:47:07+0900,856282075907489841,1,1,0
rlag****,1WbUZ,2찍개들 살만하냐 ㅋㅋㅋ,True,1,2025-04-09T09:23:35+0900,856280559716925676,1,1,0
natu****,aiO2g,국민들에 개방하고 돌려준곳 아니야? 다시 간다고? 이게 뭐냐?,True,1,2025-04-09T09:13:28+0900,856279908341514423,1,1,0
qave****,4xFxM,윤어게인!,True,1,2025-04-09T09:12:44+0900,856279860476117269,1,1,0
hwa9****,OtUu,나 세종 시민인데 대통령 절대 세종으로 오지말고 청와대로 가세요 비효율은 제발 없앱시다,True,1,2025-04-09T08:58:45+0900,856278960026157282,1,1,0
tksd****,4lHtl,다음 정부는 청화대를 가는것이 좋겠어요 ~~용산이 멉니까?  요새로 숨고싶어서 갔나요?,True,1,2025-04-09T08:57:33+0900,856278883035513002,1,1,0
apob****,,,False,1,2025-04-10T09:18:56+0900,856373031201669463,0,0,0
apob****,,,False,1,2025-04-10T09:14:38+0900,856372754327273690,0,0,0
lims****,,,False,1,2025-04-10T09:08:52+0900,856372382560944402,0,0,0
kicv****,41BAz,저중에 탄핵찬성자들 얼마나 섞여있을까 ㅋ,True,1,2025-04-10T09:08:39+0900,856372369072062641,0,0,0
bae5****,3bEC2,정부부처가 있는 세종으로 가야지.청와대는 이미 국민품으로 갔다.서울만 살고 지방은 다죽었는데.서울기능을 지방으로 전부 옮겨라.,True,1,2025-04-10T08:40:42+0900,856370568373469389,0,0,0
kbss****,2zkqs,"옮기고 어쩌구는 돈드는일은.. 적자 나라에서 하는것 아니다. 청와대든 서울시청서 대통령 일을 보든 , 낮은 자세로 빨갱이 에게 나라만 안주면 된다.",True,1,2025-04-10T08:33:30+0900,856370104466669727,0,0,0
isyo****,4gTUS,"구중궁궐  청와대로  다시들어가면 박근혜, 문재인꼴 된다",True,1,2025-04-10T07:39:59+0900,856366656933331132,0,0,0
jbkx****,5ftvu,판문점이 좋겠네   긴장하면서,True,1,2025-04-10T07:39:39+0900,856366635341054094,0,0,0
mnj0****,20iF1,한국 경제 그렇게 빨던윤석렬이 탄핵돼서 어쩌냐?,True,1,2025-04-10T07:25:30+0900,856365723767799911,0,0,0
gusc****,26UiD,윤돌렬이 그동안 노빠꾸 뻘짓도 오지게 했지만 청와대 개방만큼은 킹정해주는게 맞지 않냐?? 이거 적으면 2찍이라고 조롱하겠지만 솔직히 청와대 개방하고 한번이라도 구경간 1찍들은 윤돌렬이 청와대 개방한건 씹으면 안되지ㅋ 다른건 욕하든 말든 상관없지만ㅋ,True,1,2025-04-09T11:29:58+0900,856288701917954450,0,0,0
zmsd****,cJZnb,청와대로 복귀해라 세종시 이전은 반대다,True,1,2025-04-09T11:02:08+0900,856286908249014324,0,0,0
lbr9****,eakAI,어차피 청와대 일반인 개방해서 보안경고! 못들어감..용산에  살든가~해야함..에휴~쓸데없는 짓을 해가지고 ㅠ..지방균형발전을 위해 세종시로 옮긴것도 아니고..점쟁이말듣고 옮겼다는게 기가막힘.,True,1,2025-04-09T10:57:17+0900,856286596410900618,0,0,0
beyo****,91bmr,제주도로 옮겨서 경호상의 이유로 무분별한 중국인 입국을 금지시키는게 어떨까?,True,1,2025-04-09T10:41:15+0900,856285563169276031,0,0,0
fkrz****,19BQn,기회? 끝났다,True,1,2025-04-09T10:06:43+0900,856283338527211805,0,0,0
leed****,,,False,1,2025-04-09T09:54:34+0900,856282556104966387,0,0,0
pb16****,1hcN1,봐서 뭐하냐고,True,1,2025-04-09T09:49:32+0900,856282231365173463,0,0,0
seoj****,,,False,1,2025-04-09T09:38:49+0900,856281541385388354,0,0,0
sang****,3oBsL,청와대가아니라 세종시로가겠지 ㅋㅋ,True,1,2025-04-09T09:36:10+0900,856281370492665926,0,0,0
neod****,,,False,1,2025-04-09T09:31:01+0900,856281039142649863,0,0,0
shel****,,,False,1,2025-04-09T09:20:39+0900,856280370587369710,0,0,0
tjsr****,NQRQ,세종시 갈거 같던데,True,1,2025-04-09T09:16:09+0900,856280080844849209,0,0,0
se37****,,,False,1,2025-04-09T09:14:58+0900,856280004458185048,0,0,0
bong****,2nxDI,구중궁궐에서 못벗어나는 좌파들.. 이것들은 말과 행동이 달라도 너무 달라. 한심한 좌파들.,True,1,2025-04-09T09:11:55+0900,856279808651297079,0,0,0
aero****,QpUy,청와대놀이 할 자 꿈도  꾸지 말라!,True,1,2025-04-09T09:00:58+0900,856279102481498388,0,0,0
hsy8****,,,False,1,2025-04-09T09:00:01+0900,856279041932525580,0,0,1
inte****,ZLHH,청와대는 뭘 보러가는 걸까?,True,1,2025-04-09T08:45:30+0900,856278106200080540,0,0,0
ryul****,5qace,산자와 죽은자를 심판하리라!!! (청와대 3장16절),True,1,2025-04-09T08:35:03+0900,856277433349832722,0,0,0
flex****,2un2H,"청와대주변 제다 간첩천지에 도청다되서 그냥 나라국가안보 다 세나가는 곳 ㅋㅋ 졸라게웃긴다 
윤통이 오죽했으면 용산으로 왔을까 신빙들아 잘생각해봐라",True,1,2025-04-09T09:56:23+0900,856282672488513685,4,5,2
vmch****,1q5Xf,국민들  볼만큼   봤으니   다시   청와대로   가야지    세금   낭비해가며    멀쩡한   집 놔두고   샛방살이가   뭐냐     청와대는   대통령집    이전에    국민의   자존심이다,True,1,2025-04-09T09:01:35+0900,856279142327386283,3,4,0
sksm****,4iMG9,세종으로 옮기자. 2030년이면 여의도 국회의사당보다 큰 부지에 세종 국회의사당도 생기는데… 청와대 다시 공사할돈으로 세종에 쓰면 좋겠음. 당장 총리랑 대부분 정부부처 세종에 있어서 장기적으론 좋을듯,True,1,2025-04-09T08:41:12+0900,856277828872699969,3,4,0
sexy****,20YGS,극우분자 말댕머리도 기괴하기가 짝이 없다. 하기야 시에미 밥 안주는 며느리는 시에미 숨쉬는 것조차 싫어 발광하고 사위가 마음에 안들어 환장하는 장모는 사위가 밥술 먹는 것조차 싫어 팔팔뛴다. 이아무개가 싫어 미칠지경이니 입만 열면 이아무개 인신공격이나 해대며 발광하고 그러니 청와대 이야기가 등장하니 기어들어간다며 애써 깎아내리는 것이다. 이게바로 극우분자의 머릿통의 진실이다. 좌파타령 조작타령 남의 나라 국기만 흔들어 제껴대고 이젠 어게인타령만 해댈뿐 이들의 머릿통은 무지공백상태다. 이런것들이 보수라 자청하니 보수는 갈길이 멀다.,True,1,2025-04-09T09:12:46+0900,856279862992699634,2,3,0
than****,bYN50,이전한 걸 또 다시 이전한다면 그게 정말 혈세낭비다. 용산 대통령실로 이전했다고 아무 문제없었거늘 또 돈을 쓰겠다고?,True,1,2025-04-09T10:20:55+0900,856284253707567503,1,2,0
mymy****,300kV,"청와대는 국민의 몫....누구도 다시 지옥 청와대 대통령 집무실 사용은 불허...국민의 사랑방이다..이재명이 다시가는건 절대 안된다...세종시로 이전해라..청와대는 국민의 몫으로 남겨 놔야...다시 들어가는놈은 국민 배신자이다...무엇보다 대통령 집무실의 청와대 재이전 가능성이 다시 거론되면서, '다시 폐쇄되기 전에 미리 둘러보자'는 심리도 관람객 증가에 한몫한 것????대통령 집무실은 세종시로 가라..",True,1,2025-04-09T09:03:13+0900,856279247151431730,1,2,0
chri****,2M8FV,한심한 용산 이전 때문에 날린 돈이 얼마냐.  점쟁이 말 듣고 이전하는 미친 ...,True,1,2025-04-09T08:59:20+0900,856278997338685544,1,2,0
leef****,,,False,1,2025-04-09T16:09:16+0900,856306695935099008,0,0,0
solm****,2qKet,이미 만천하에 다 공개된곳을 다시 대통령 집무실로 쓴다는거는 나라의 격떨어지는 행동이다 그냥 차라리 새로 만드는게 답이다,True,1,2025-04-09T16:06:44+0900,856306532323688753,0,1,0
sinm****,1VRjG,개한민국은멸망해야한다.씨을없에야한다. 오랑쾌족이이다.특히이씨조선 안동권가등한가등등씨을없에야한다.뭉가는한마리도남기지말고!!,True,1,2025-04-09T09:19:01+0900,856280265813655572,0,1,2
tel7****,64Q5D,윤석열화이팅.,True,1,2025-04-09T09:07:16+0900,856279508540457057,0,1,0
kmss****,7SNYo,용산에 갔다고 욕하던 좌파들이 이재명 세종시로 행정수도 옮긴다는데는 입꾹닫~,True,1,2025-04-09T09:01:15+0900,856279121439752266,0,1,0
lome****,3youY,윤석열 이넘은 진짜 무당 말 한마디에 멀쩡한 청와대 나두고 대통령실 이전한다고 수천억 쓰고 계엄 내란까지 저지른 천고의 역적이다,True,1,2025-04-09T08:40:57+0900,856277813370552570,16,18,0
ghki****,7oxmF,청와대 허물어라. 경복궁 뷰에 끼어들어서 흉물이더라.,True,1,2025-04-09T08:47:06+0900,856278209581285418,4,6,1
binb****,2oPoC,"청와대 관저가 생각보다 너무 초라했다. 그러니 김건희가 못살겠다한거겠지. .용산집무실 이전, 한남동 관저이전..무속의 말로 혈세 수천억원 쓴 윤석열 처음부터 아니라는거 알았다. 지금도 미적미적 세금축내는 거 이해못하겠다.",True,1,2025-04-09T09:07:38+0900,856279532464767180,1,3,0
ersh****,2R1mH,창경궁을 동물원으로 만들어 온동네 구경거리로 만든 일제의 만행을 보는거 같네. 정신들 차리소.. 윤가가 우리나라의 상징이고 국가보안의 핵심을 놀이터로 만들었는데 그걸 보러 쫒아가냐 에휴...,True,1,2025-04-09T12:50:25+0900,856293884987179190,0,2,0
cb12****,2w9OB,윤석열.깜빵 들어가는 모습 빨리 보구싶다,True,1,2025-04-09T11:04:49+0900,856287082128081256,0,2,0
cimc****,79rd,소통은 물리적인 공간이 아니고 마음가짐과 실쳔이다. 청와대 기어나와 돈 들여서 용산간건 처음부터 잘못 된거다.,True,1,2025-04-09T08:40:48+0900,856277803522326736,4,7,1
wlrm****,MXLY,대통령의 권위 때문이 아니다. 아방궁도 아니고 대통령은 청와대에 있어야한다. 국격 때문인거다.,True,1,2025-04-09T08:51:08+0900,856278469275811877,0,3,0
vip1****,1murj,세금낭비하면서 지혼자 별도 관저에 산게 이상한거지 다음대통령은 누가되어도 청화대에  있어야겠지,True,1,2025-04-09T08:44:49+0900,856278062361215204,3,7,1
goma****,6HyDW,6월 4일부터 이재명 대통령이 사용할 곳입니다.,True,1,2025-04-09T09:02:49+0900,856279221515845868,0,4,0
ckch****,1Ccif,"당연히 다시 컴백해야지ᆢ
청와대를 나온것은 정말 잘못되엇지ᆢ으이구ᆢ",True,1,2025-04-09T08:37:29+0900,856277589864480929,5,10,1
esol****,1b2Y2,한덕수 나 김문수가 청와대로 들어간다 한표,True,1,2025-04-09T08:39:45+0900,856277735859814621,3,11,0
lkt1****,,,False,1,2025-04-09T08:34:06+0900,856277371458682915,0,0,0
