user_nickname,userIdNo,comments,visible,replyLevel,regTime,parentCommentNo,sympathyCount,antipathyCount,replyAllCount
rktl****,2xyVx,윤 앞잡이 역할로 나온거구나...정말 한심하네,True,1,2025-04-14T10:51:59+0900,856750111412191655,424,158,11
funn****,1RAZW,누가 보면 한동훈이 계엄하라고 떠민줄 알겠다 그래서 넌 계엄 해제 투표에 참석도 안한거야?,True,1,2025-04-14T10:56:31+0900,856750403218309313,282,73,5
moon****,132qQ,이 할매야! 누가 계엄하라고 등 떠밀었냐?  진짜 쪽팔린다 저딴 인간이 국힘5선이래!  국힘 지지자들 정신차려라,True,1,2025-04-14T10:58:37+0900,856750538543333614,169,42,5
ysa2****,1g0b0,탄핵을 선동해? 누가 계엄선포하라고 했나? 니 과거나 돌아봐라,True,1,2025-04-14T10:54:45+0900,856750289636557132,137,41,0
ulbo****,1L5NV,계엄 옹호하면서 대권도전하겠다고? 제정신임?,True,1,2025-04-14T10:56:42+0900,856750414693925162,134,40,0
sata****,10UZW,이재명이 아니고 한동훈이 적이냐? 해당행위 오진다 내부총질 작작해라,True,1,2025-04-14T11:00:56+0900,856750688212877662,34,8,2
sols****,593xv,질서있는 퇴진하라고 했는데도 안한게 윤석열이야. 헛소리 그만해. 너 안뽑아.,True,1,2025-04-14T11:00:04+0900,856750632361525278,29,6,0
pell****,4IT9y,"나경원, 이정희 할려고 출마했네 70% 탄핵찬성 국민은 아예 개무시하는구나",True,1,2025-04-14T11:00:56+0900,856750688229654902,23,4,2
nj49****,2Nf2B,한동훈 욕 얻어먹으면서 질서있는 퇴진 요구함 근데 뒤통수 치고 탄핵심판 받겠다고 한 게 윤석열임 8대0 인용으로 파면됐으면 탄핵 받아 마땅함,True,1,2025-04-14T11:21:39+0900,856752022135767312,21,5,0
rels****,27NLJ,누가 불법 계엄 하랬냐? 단순 위법행위도 아니고 무려 계엄인데 당신 발언은 뒤집으면 계엄 옹호하는건데 감당 가능해? 섬망 증세 있는 것도 아니고 국민을 위해 불법계엄 저지한 사람을 공격하는게 정상인가? 당신은 진짜 안되겠다,True,1,2025-04-14T10:59:21+0900,856750585519538328,18,3,0
dus1****,aUPZc,"에고~~한심한 나씨.계엄이 잘했다고 생각하니?
넌 정치생명 끝이다.그나마 한동훈이있어 국힘이 사는것임.아직 정신 못차렸네",True,1,2025-04-14T11:29:46+0900,856752545165476170,15,2,0
